date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-08,55731.274992,15301.880780399999,30733.426404,167670.37368,32366.06802,111503.9034,60584.983775999994,147585.65795999998,25263.683999999997,22681.2513312,77308.576308,68900.189976,119381.16096000001,31693.247676000003,53410.18608,23902.87644,179579.70756,64765.4859,49299.27623999999,111176.88696,60545.99124,82552.612212,72255.57372,50266.660535999996,80723.847564,71563.793544,124808.39963999999,43298.716536,99669.63167999999,46995.694668000004,112687.71948,141231.24036,103931.49960000001,56616.808571999994,22260.081636,38021.377536,137267.47079999998,20608.4932992,59849.23712399999,61328.000016,160485.53759999998,125526.70439999999,112201.95708,137952.06552,23388.773652,26362.591668,56681.24742,42888.115008,47257.733664,78119.03314799999,38238.013008,225170.34048,108679.84728813171,593635.243392,40999.58047270775,561.1562496
2024-08-09,54017.26703999999,3870.8584343999996,23132.439648,189311.91696,26018.374932,108518.33736,55684.804212,158738.21748,15200.760132,12171.3635448,78618.9024,67913.812368,130340.70072000001,21689.938943999998,49610.114711999995,19420.7814,196979.10371999998,64386.5841,52307.195364,119568.41892,59644.439856000005,84320.101872,74863.092456,45514.609128,82298.12004,73223.45643600001,136282.94604,39057.908076,105982.12692,41977.399392,122663.47644,155163.1356,113978.99448000001,54172.097028000004,16692.196176,34072.126848,149824.83168,12491.016857999999,57626.242236000006,61359.32714400001,175939.14419999998,134951.78016000002,121664.5704,155152.29456,14136.971688,16323.081119999999,55248.941267999995,38166.276492,43974.318852000004,83206.917036,31772.209608,218175.35327999998,115721.70488834381,602234.3753279999,36002.27810740471,1105.6568256
2024-08-10,57623.46588,3295.716850944,24780.560687999998,186089.58144,31997.264976,111931.85772,53844.741576,157597.66836,15115.167324000002,13136.882615999999,79368.430932,72856.83920399999,127892.64312,21071.554595999998,53778.446099999994,21708.065124,190304.82468,67924.725444,44826.232572,120177.97956,62623.037304,82167.32491200001,77502.28878,47031.03107999999,83418.131016,73672.629624,137228.53356,44525.129544,105958.69416000001,42456.865176,121393.34999999999,154051.55424,115083.06876000001,54513.809352,12452.569236,32745.097044000002,149015.68164000002,11411.399988000001,57866.867856,62915.464584,175200.8346,130539.97151999999,124014.04019999999,155336.8698,17922.167136,15163.011972,56823.896952,38493.64404,48485.18034,95796.754272,32725.753272,197032.18464,117450.62184333801,607663.89648,36721.5351998806,44.112776256000004
2024-08-11,56057.67972,3448.6736490684,24258.153996,181693.53108,29568.006395999997,106695.15372,55257.742728,161027.26776000002,14217.087599999999,14409.146268,82459.46826000001,67800.262896,128299.64328,22047.254352,50110.006643999994,16487.548488,184312.68876,67999.220388,45715.482,118283.64552,67333.897296,82385.145036,73806.61118400001,50934.633839999995,81577.02121199999,77463.444636,138070.60092,40389.07536,106904.2212,44686.262304,120755.60244,156338.97156,108836.65547999999,55370.2365,13277.479176,39352.04694,148676.36076,11589.629796,59138.125704000005,61100.052516,178794.94392,129528.29988,122564.64671999999,157039.425,15673.97736,31704.416279999998,56906.617392,42526.164456,49310.879436,87690.356352,41468.952348,201939.92064000003,114512.98949718475,608838.004224,39048.60026836395,3.2203157472
2024-08-12,56214.02214,2552.828637924,30015.801612,182173.97664,34501.128552,107784.64584000001,54811.68048,154903.65804,15686.241300000002,17208.829782,78304.99878,68261.93514,125845.46208,21479.971068,49969.71162,20013.343488,179766.27432000003,100425.79767600002,46258.601255999994,121228.21044,63249.953543999996,83042.019936,73265.15426400001,49072.003524,83236.123152,73616.241312,133097.84676000001,46032.24816,103864.20911999998,43518.162708,118060.09092000002,150717.77244,108425.19816,56594.422548,13406.031683999998,35364.332376,146142.80388,9956.152259999999,58883.079708,61636.413024,171501.2136,124012.66644,121306.42079999999,154635.32988,18462.546216000002,26589.636936,55525.462524,47216.387484,46436.31882,85568.30496,33410.808828,246630.87360000002,113974.70877170563,606000.4122240001,38592.55156517029,81.230167008
2024-08-13,57013.904592,2561.361787476,30666.539520000002,176227.32384,32233.246704,108329.86332,54642.269736,153144.0918,15425.494308000001,13269.672860400002,76206.460608,67160.499948,124883.06004,20993.763708,50247.78894,18301.103496,177400.34208,75978.288576,58170.798647999996,118613.7324,62819.967636,94078.18710000001,73121.898852,48393.657684,81382.481352,71533.47438,132890.91444,43003.890792,103646.31048,43675.406820000004,115576.7562,148177.62864,107103.21768,56195.70544799999,13145.590116,38384.80326,143644.18824,11536.046136,58301.55576,62104.071168,166863.82536,120414.48012000001,121306.43375999999,147328.67952,13982.897916,17824.181328,53897.395032,43567.49106,46416.222288000004,83329.524684,34358.47362,187490.07360000003,111679.4721364975,594427.436352,39218.255031108856,81.344042208
2024-08-14,57460.98031200001,3083.7346488,24559.761383999998,174804.37199999997,29340.765216,112250.8152,57267.30585599999,150797.2572,15401.463335999999,16287.931008,75874.092984,68287.715496,149297.76792,21165.937848,51158.054520000005,24985.140768,181341.58392,73900.21824,58101.546239999996,116535.29832,62731.762848,82835.923752,72849.881952,47065.085640000005,80176.448808,71330.155632,131330.10168,40794.81213600001,102768.61176,47306.993112000004,116619.76079999999,146176.866,105506.29944000002,52630.05196800001,13145.583744,34823.093616,143050.2768,9685.786680000001,57279.87468000001,59877.95939999999,165261.18527999998,118976.56055999998,121298.57784000001,146779.73063999997,13276.128743999998,18513.270576,54783.831600000005,43707.128472,45318.310704,82664.92584,37867.62528,205579.9008,112751.90534591675,297124.22592,39147.22069501876,574.507296
2024-08-15,55594.33747200001,4355.1746064,24647.551775999997,174052.99872,32810.633927999996,110139.92496,56272.72176000001,149158.70496,14110.460063999999,14070.972023999999,77490.805464,66490.31448,124403.0616,21204.813096,56982.551975999995,25330.319568000003,170963.85744,70717.658472,48245.661936,115356.59711999999,64345.145688,86318.617248,73917.84038400001,49435.607447999995,79802.58564,74227.151952,126813.23280000001,41626.90094399999,106111.45799999998,44353.110816,119090.58264000001,145448.45352,112101.07535999999,54440.475624,15049.22544,34780.477896000004,138468.8952,10752.465096,56416.142088,59442.090191999996,163439.06328,116379.82584,118619.37864000001,147084.85872000002,18048.392999999996,19933.338815999996,54570.700079999995,39961.443312,46830.966911999996,83933.08128000001,34794.16495199999,179889.84576000003,113270.78533172607,294034.18003200006,38490.5550956726,1147.5019008
2024-08-16,63425.217456,9381.7688184,24360.972264,170884.04975999997,35809.421328000004,111997.90728000001,57439.901088,146756.49984,14716.966896,16952.45868,77634.110016,67416.657696,123666.84936,21648.559176,57171.158424,18525.024648,168921.92088,78150.9006,47365.734959999994,113901.56280000001,64058.235264,87654.416328,70944.50016,49497.874200000006,82716.81336,70657.513704,127047.59495999999,45723.042648,101206.36152,46530.442224,117215.46720000001,142632.17855999997,109205.86968,57530.87856,16620.402312000002,37600.99488,148525.67592,11691.1573776,60484.806,62128.04328,162982.89288,112168.25568000002,116604.82871999999,143219.08944,18550.663416,18120.248208,57413.574792,47922.455304,46009.542239999995,85706.774568,49215.847752,180643.99680000002,111730.65576553345,297546.196608,43718.020606040955,1151.8147296
2024-08-17,56748.270599999996,8899.8898637808,27836.223911999998,168908.8248,32863.548096,114448.65839999999,61769.032488,144839.124,28336.232808,23480.195327999998,78011.236728,70558.887456,142279.04664,19718.377128,52770.340727999996,21621.6054,164756.04119999998,83839.058208,48200.17104,112141.50623999999,62701.97472,83391.65136,72300.71232,110168.55899999998,78873.50592,69301.300896,126786.762,55553.873544,138973.31784,46269.97236,111737.98584000001,145903.25448,111064.18248000002,54773.00913599999,15120.849312,41196.45744,133386.03072,11502.38016,58013.925839999996,66248.8254,157127.14367999998,110068.15031999999,119221.68384000001,147025.54728,28239.887520000004,18075.17808,55150.485552,47657.211408,47867.679000000004,87884.77103999999,45030.665232,243319.82688,112047.42250442505,307344.59337599995,44161.30156517029,1.6817879232000004
