date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-08,511696.224,512863.99451999995,511500.06899999996,517966.21692000004,513573.73380000005,516027.35880000005,517402.42992,511543.37483999995,518965.67376,511913.90556,514190.48292,513001.82952,512414.29871999996,512675.91252,511659.38628,511561.16352000006,512742.93516,511327.52172,512171.76311999996,512783.1522,513874.91232,512852.2128,517302.40896,515903.72471999994,513889.12188,511867.06487999996,512643.39264000003,512464.15583999996,516226.61988,512454.59676,511591.75344000006,517451.82156,512956.3582799999,513238.27284,511611.03576,511423.57584,513819.6984,511918.2666,516218.51664,512760.47328000003,512420.15988000005,511652.27016,512853.48072,511647.99768000003,511770.2904,516986.2962,512415.78912,521617.25088,512050.23288,512709.71327999997,511671.02436000004,642473.39808,514336.4713668823,4107959.5651200004,511659.4525337219,371529.03744
2024-08-09,245794.73436,264624.22656,241511.19948,341034.0408,252962.51076,328718.17008,407512.09404,252385.02719999998,309150.0108,241283.72771999997,252803.4462,318761.48699999996,251281.20888000002,258251.51700000002,244021.04172,234769.64292,334391.32908,247831.98803999997,263245.03631999996,249330.67271999997,283644.26964,289601.47188,317570.895,330028.95096,288530.23176,250793.4852,262580.0598,258553.67616,276923.27087999997,257313.40524000002,282950.31132000004,335467.03500000003,288427.11984,281954.25216,242107.28496000002,255813.62652000002,248673.29508,265338.07956,295695.2304,288324.7974,301902.69564000005,273163.3848,276465.73212,250003.43712000002,286254.85212,309036.87864,252133.20143999998,272214.02052,257836.93308000002,254394.18144000001,256545.94212,459622.30464000005,292113.73143196106,2216455.6262399997,251498.74577522278,151958.93759999998
2024-08-10,146535.97572,211590.37404000002,140232.71448,383494.63608,167063.39964,347799.65004,261545.68764,176356.18079999997,228793.58172,126222.18011999999,220558.18751999998,376139.49372,156105.49392,159640.04016,170835.98111999998,356804.10252,341369.47692,175609.5174,177067.22472,155730.16584,198839.14452,223171.15572,291357.3078,332932.79664,226160.08704,194444.82432,233236.50192,181172.40192,181224.21384,164462.8968,323643.627,270567.5346,233267.78736000002,208311.10632000002,127780.83828000001,219349.05948,140686.66224,180040.2012,243576.90036,226763.72280000002,245795.33808000002,172626.63191999999,214173.83232000002,286933.68072,331888.98095999996,235838.66363999998,161001.21816,144126.99576,172687.96188,178989.79212,154913.8284,519465.68352,247030.5091381073,1753640.78976,165586.4396095276,101827.152
2024-08-11,273968.80236000003,252311.75568,167527.38816,486043.79508,197189.03196,490503.20256,274402.4526,174915.8442,191190.33179999999,137393.75196,249012.72827999998,503391.78755999997,195943.15584,157191.02352,258773.93244,468114.06059999997,374501.19096000004,557135.955,229180.34376000002,186641.83836,182347.18056,269844.16896000004,327062.23524,315427.13604,246632.23656,281093.61527999997,228361.24692,199815.69887999998,321864.75468,193628.0538,345328.53984,410059.21248,294913.58148,225295.91856,105070.18463999999,233124.01344,133456.80959999998,157197.49812,308696.3622,258755.76899999997,315770.967,146872.57716,191468.09268,270617.7384,467718.75144,255839.44068,170781.89904000002,194720.73192,213818.93136,287821.0098,146329.24212,1174432.3488,303813.43960762024,2121579.05184,185103.04942131042,101078.13312000001
2024-08-12,281089.38384,221809.58891999998,273402.8316,517696.71156,1166952.528,372313.65096,367572.20256,175774.02624,152649.25524,182868.48036,366907.54247999995,561945.9315599999,195627.2904,156471.56748,226040.53104000003,376539.02892,262025.92044000002,1067443.3368,399153.98699999996,266479.70868000004,212459.37335999997,584072.8430400001,443429.9931600001,531744.83424,298098.52308,368503.36235999997,211362.30612,748371.81528,925072.7882400001,224960.85504,330071.41116,1086394.79664,333400.5846,756264.3883199999,112559.23835999999,581954.44788,134318.26296,186035.49828,302065.1352,269023.29336,537423.19236,127389.65903999998,760640.463,525598.9603200001,682036.2918,285996.45132,271818.09251999995,984870.5652,321383.33712,1743068.1924,163755.41256000003,2354651.3376,554319.6950912476,3550573.7424000003,214347.54467010498,108449.67743999998
2024-08-13,198595.59587999998,203758.07364,244073.68091999998,694046.2730399999,1120469.5116,320944.31496,205311.61152,173074.30812,147484.49868,163238.64552000002,313242.37596000003,578710.10844,152206.55891999998,161429.63256,169770.10536,305458.29,174112.11684,737928.5058,524084.11128,415946.37456,202362.42096000002,527318.52552,324268.74072,416872.84608,380455.21584,554959.5854399999,205049.52036000002,472015.82735999994,445037.8194,211808.77704000002,305334.6084,498632.1444,335946.65327999997,475874.5842,115492.4946,687071.60064,114997.64723999999,214897.87188,227163.2634,268166.19348,1134324.918,200549.33531999998,480308.69052,1239595.3476,570359.81304,292152.10896,429911.60399999993,456143.34167999995,357594.92928000004,781961.8910399999,168496.49484,1821317.184,484111.5686416626,3152785.56768,201323.7157344818,104498.35488
2024-08-14,179292.75264,207956.59415999998,235503.09144,543798.3945599999,3088996.6679999996,378951.00048,165200.3964,146275.8804,179472.294,123962.95512,245482.01496000003,524181.43007999996,152888.61888,161479.75751999998,117635.76432000002,238773.70080000002,165469.4784,1035086.6663999999,490277.74824,361459.03968000005,178025.59512,491609.91096,302392.22184,386645.82336000004,336465.8136,638944.49592,211428.34055999998,365483.67264,348445.12176,230443.99560000002,293877.0828,370803.9168,267803.39448,324345.68856,108622.06055999998,621010.1239199999,124988.58576000002,221859.96983999998,197032.2408,281458.62072,539315.53272,263797.92935999995,287253.20952000003,747178.57296,508282.91208,255695.3676,332017.31736,376428.90024,322801.65576,590595.6585599999,175776.30504,3662340.7391999997,396255.65185546875,1524939.11712,194089.69116210938,102494.91168
2024-08-15,192515.53392,267225.59447999997,211752.92592,387689.64552,1663527.8664,381894.03504,162484.83576000002,135540.80352000002,242207.83512,151689.36312,195313.69944000003,480576.58776,253698.25319999998,150273.63,117824.44464,330160.86432,177656.06231999997,1024070.3855999999,374498.17776,250746.30647999997,187487.84448,1024470.06552,305831.60928,329625.74376,266521.38047999993,363259.9224,172356.34896,254979.88055999996,496479.27888,221292.94392,283891.52807999996,372214.12032,238356.42336000002,217277.97048000002,114254.70768,400150.60776,82224.208728,226041.14016,181065.3912,225382.33151999998,374833.42056,218993.50944,185763.62016,410936.95440000005,385887.01967999997,235163.39472,232935.91848000002,273718.57824,240751.62575999997,394379.52192,153063.56160000002,2107467.936,367947.4968910217,1272230.30592,191356.92529678345,68424.494688
2024-08-16,247355.78256,336907.39104,287780.63616,326175.5736,914418.828,322593.76872,164731.12992,146643.32016,349859.10744000005,205259.78016000002,170609.17896,461767.18463999993,329395.77936000004,151846.65864,175962.32856,457030.69128,327617.99136,1029395.27592,349994.93256,211892.76215999998,194627.68344,1030004.7588,320725.63223999995,1721288.3184000002,274204.82016,216139.30703999999,158914.32336,231528.47759999998,446894.01,278556.83567999996,290152.4652,530453.06136,411007.51944000006,171855.07776000001,162416.74608,225236.6028,74721.478968,174248.33400000003,166079.2356,252701.5536,342910.76112,191496.61224,151131.88439999998,245448.47016,326110.87728,240202.10880000002,176580.67608,462692.03832000005,185104.95624,280988.97192000004,912270.6864,2400157.0944000003,354624.2317199707,1397171.09088,184772.41158485413,67410.9216
2024-08-17,384647.454,677011.06152,334471.2696,310729.84128,527045.21856,349301.31768,167068.04687999998,160892.22888,397622.34719999996,235086.63695999997,210063.94415999998,440272.90151999996,280848.6108,149370.84936,190689.98832,715696.29648,368741.81016,850049.2512,492936.55704,173712.96072,173045.25072,854211.1608,277176.76632,3510796.2408000003,291979.97640000004,167067.32112,181942.85016,306790.7616,354673.95912,348520.83624,310861.35288,928726.2792,416333.21760000003,211591.38815999997,179446.44312,221665.51800000004,98818.08624,117243.09792000001,173840.84568,375991.44840000005,458797.11335999996,143271.00072,160653.35664,326785.79519999993,372692.8368,219937.95,189826.65792,295766.0244,167723.59824,245752.64351999998,810355.4280000001,4596969.5424,396690.9730911255,1592827.00128,183829.6597480774,90604.6128
2024-08-18,316706.76431999996,502600.62168,660405.91896,298294.6392,418002.62327999994,325807.62624,447203.36736000003,154191.49416,476116.53119999997,180063.22032,238686.17328,457358.71103999997,599922.43056,168417.31679999997,210525.26400000002,539202.15432,281080.21464,759978.4068,523847.34504000004,125386.54848,177502.212,931099.6224,365313.02184,2317120.1712,432346.13352000003,141021.29376,211414.24656,307149.8832,408259.00800000003,467218.28159999993,281910.54888,1004233.7880000001,581002.6881599999,310873.81175999995,164728.30247999998,311509.57104,83190.34432799999,103934.52359999999,183696.00336,1667582.9488799998,433226.48688,255916.34856,183625.08192,484784.5032,611770.9377599999,184396.10688,207320.25168,420250.84416000004,193470.69456,230546.27376,1247319.5184,3512222.4672,499503.470993042,1771571.1484800002,199870.51162719727,69798.121632
2024-08-19,178507.62720000002,252413.20008000004,802623.5567999999,305019.2916,456256.88208,243552.08304,15139439.568000002,131468.2488,1978510.59,212679.05832,206017.42608,7634237.219279999,2361184.4088,180227.95919999998,633012.5484,357083.87112,157190.652,1071851.7888000002,353851.24752,102980.77776,168944.84712,15302926.404000001,763580.9735999999,1220451.2136,720239.8608,130703.27184,199963.23119999998,269084.57688,396234.63144,1023964.9128,243786.31344000003,662019.3396,373148.64863999997,463121.2152,180656.298,277671.92904,55540.4148,114571.40472,195451.59816,4808171.5128,333756.07632,240310.67687999998,154231.18632,621897.28128,686882.3328,186625.88568,220115.97719999996,368597.9736,195911.68896,293815.68264,1186805.4336,24822586.944,723698.1302261353,5083709.2128,192830.32836914062,50875.771680000005
