date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-08,4260.664638,1250.8666034399998,1493.63144856,2800.9593936,4372.740342,13026.724128,79013.3063364,1653.4264968,88761.42075492001,4484.5174368,1621.8457146,2991.3316631999996,5354.261643599999,1144.4703246,3887.7071364,1903.4018495999999,9211.9389048,1402.09011396,4061.6696019599995,2875.7274642,4458.6252251999995,6559.0906032,12027.345469200001,5300.65998,8163.839523600001,2771.97778044,11456.696203200001,3516.23845584,2140.832862,12695.6353536,6674.6400732,7427.173726800001,3989.4354036,1898.64159084,3598.7053247999997,9111.672320399999,1350.21373632,3754.9500858,6734.77686,2169.0634787999998,2190.9053556,1896.26103,3855.986748,3204.334836,4635.8403948,5467.892202,3026.1727709999996,1808.6452286400001,5055.934896,3132.7799760000007,2079.8624232,700990.416,5314.99379239976,60820.00283519999,1969.1158709116226,206.34945696
2024-08-09,16467.8577768,4532.23490508,2145.25162368,14505.189155999999,7397.273483999999,177022.80514080002,237860.591688,2432.4840972,194887.93806000001,10068.115060799999,5803.903421999999,5803.1378748,15905.6655264,1083.11654736,17515.2907008,9022.410590399999,18172.7000712,4207.28974956,8336.4297606,10408.6472148,5896.4884956,13604.006127599998,30496.839660000005,11795.081101200001,10251.926568,7067.250702,9254.0160396,9006.252526799999,6436.365624,24854.069916,12261.7860048,10394.107164,6476.5467,4412.651796,4746.93804,29730.136103999997,6517.421026919999,10658.3487876,10746.5447088,4492.2193271999995,5778.0185544,4370.8758732,7854.9230087999995,7734.205393200001,11033.8714836,12685.5527544,7489.9362744,5131.6004736,5710.5495396,6425.1731736,4043.506176,965006.352,12921.308248490092,167989.8939264,4320.143505558366,167.22109152000002
2024-08-10,77007.968784,11716.2638784,7417.47113208,80323.36860599999,245062.51552799996,12842.0123976,4480.95732048,5898.5261748,3114.9689399999997,13903.77474,6557.8792968,7085.1405564,7349.3158431599995,7011.554043600001,20215.8258732,12176.713119600001,100737.36695159998,10765.4347404,4771.9497978,8708.637348,4497.314275799999,3880.7391708000005,5096.4619121999995,16286.1689448,5382.197755200001,13723.226204400002,23005.0581408,14579.119627200002,11633.1906996,11599.5989736,7091.686641599999,12542.012935199999,29839.4451828,23015.5190262,3883.3077780000003,66462.11352,5344.9632324,8934.523938000002,36585.524988,10868.5484316,3868.8924024000003,5982.5576106,12129.565158,29647.975319999998,8285.682996,5297.824105199999,9780.8097672,7653.8746692,16661.5230312,29056.215672,4727.5567866,1213653.7152,15352.64738425612,171684.8149824,5125.13027284294,440.60751359999995
2024-08-11,11650.2620112,10959.76304676,4162.7455848,129978.828144,397840.01634,326336.794974,227483.63977320003,4770.9082296,7461.528073200001,10875.0989826,15982.609553999999,5443.5793932,88366.90948920001,4544.55714024,9410.6761848,6009.84897408,200694.18541680003,340070.01989939995,23788.8844704,9205.656307199999,64950.8419692,10019.517749999999,32158.881176400002,117045.29076840001,3329.1246996,52948.577572199996,101645.1569556,295819.65742248006,268272.6560892,17321.0122656,9662.1893496,238140.84017519996,39277.8906192,53630.713666799995,4976.224783199999,127702.55556,57488.3851176,40105.2156768,7469.1869472,3443.41773,89329.43995199999,13747.9519512,195866.97445439998,319466.26420920005,295400.7606024,14545.468512,10684.471579199999,22304.060856,58890.95943119999,73890.0991476,11945.4872904,2659416.9696,70008.08468610048,703767.1864608,6283.029700443145,457.6453516800001
2024-08-12,16624.5776784,18992.265371999998,12809.445753599999,18237.569580000003,202948.68481200002,14255.6718312,492038.321904,6469.9826868,3410.0149284,11381.3979444,9992.0561148,3819.7286856,4975.3757088,5693.70692124,5877.4296708,2975.8228200000003,25298.281583999997,949508.10036,50759.478576,195265.83438000001,127323.666126,46498.572828000004,101948.63295959999,242780.99442480004,12563.641177200001,94991.7861216,201717.15876000002,657828.059616,583754.5649880001,5299.3538496,13736.663802000001,505143.770364,78451.853076,165091.541796,4098.9635604,302993.82126,106618.031568,59128.612167600004,7030.230807600001,4053.6220824,91813.38236640001,71907.3592992,489462.699888,642379.580208,771860.1828600001,153204.62710679998,29543.8419576,43477.1081064,120525.56373600001,141949.4981076,2544.5111688,3497563.584,147629.47830855846,1244087.22096,8680.949293076988,447.29317152000004
2024-08-13,6750.0588816,3872.9713788000004,157160.48437080003,3336.2019072000003,331413.345072,3388.382172,4305.0610836,9627.573718799998,3679.2934905600005,7219.246213800001,6297.91497,3029.5788048,3649.8429737999995,2259.04395636,7368.068491200001,4732.8765588,15947.153413200002,408042.4963608,167225.8992588,39891.332984399996,3979.3517784000005,223481.2059,2478.1985424,6151.0318704,3853.0269216,5971.5514332,10424.562818400002,10203.2524152,4747.3120116,69858.4010112,5378.1639012,9517.886424,4901.918742,55932.203808,6437.764807200001,117476.48975399998,4305.114716399999,6108.355346400001,5550.153123599999,5018.3144244000005,3833.2201752,17122.0218336,73884.126024,56934.746262,6873.3245412,59769.87909119999,2973.3142068,8665.6141224,9363.849469199999,222391.02916799998,2886.92127,2405928.96,12538.003769516941,347555.9280384,3690.1121109724004,282.1713408
2024-08-14,7951.247712,5369.6570976,621831.989448,1312.0301376,859460.0374799999,7382.9025288,3001.1554080000005,5485.9112352,1831.977108,238547.584224,5718.4960824,4772.0284488,29255.890607999998,3339.9889056,9209.129976,3036.2272199999998,12359.285100000001,1267805.12904,861517.5163199999,19712.030832,5935.402656,6409.6399008,3364.7809752000003,4131.2875824,3075.3857304000003,2895.7647744,10135.364436,7787.2132728,7277.1722568,262679.52780000004,6618.369168000001,8762.487552,4913.840483999999,7492.500280800001,3555.5490216,3682.264644,4717.21143744,3244.0901760000006,5881.3764768,3227.9958215999995,4932.8321544,45011.6860896,48334.4057736,10496.696256,6772.948919999999,12204.6282144,1885.8281328,11799.5330664,6593.2724304,28760.671728,3689.6764032,3147356.736,12710.525143146515,354130.942464,2980.5707171559284,511.86698496
2024-08-15,7484.0289336,1631.58876504,2426.5442656799996,4048.3792008,315082.098288,8535.136557599999,6858.697615200001,4061.2479192,10957.870447199999,270934.01424,5030.9281439999995,7474.9187664,66714.11748,1110.984876,50190.369984000004,8938.551787199998,41976.653328,55229.559155999996,12105.5831208,11234.6871912,10455.7381632,78753.269088,3334.3071336000003,8293.6641312,3241.3070807999998,6590.1609396,3113.2182168,5086.3084487999995,130839.32786399999,3628.3155336,5325.026508,14755.201595999999,14302.2535056,3148.8356664000003,4016.20788,4924.1804472,3235.1791608000003,4958.6469408,10103.053968,4326.999912,2684.7303552,6912.0708912,7940.139912,108258.29301599998,6784.118906399999,6611.353704,4553.8813872,5870.3768928,2769.517548,2123.5593744000003,2257.9850088,792395.1359999999,11540.977111458775,107546.919264,3390.2901202440216,368.740512
2024-08-16,18365.442552,184155.25707360002,1117.87416576,11294.396784,17357.061888,3856.674492,1497.3386241599999,5488.514013599999,17826.2005392,15722.436614399998,5561.5540248,4497.829992,15254.7312312,232.28411688,12609.208936800002,2633.4614592000003,24647.071608,7431.693105599999,6428.665008,11222.941111199998,2254.4720279999997,10658.184228000002,4799.627956800001,591687.385848,8257.9011192,4102.7109336,5826.8643408,11195.605944,13489.3336176,2820.2506344000003,6750.904608,316698.07831199997,442023.41347200004,3323.7303912,12536.921664000001,9022.8932856,5737.5240192,2064.1218120000003,7289.74026,10705.122669599998,16542.4697496,2630.1198312,8860.738586399999,12852.5361768,13831.842528000001,1750.6431936,8857.252584,119101.170528,3099.9487104,7283.2011624,2374.2926927999997,1219393.872,13789.076444506642,159657.225984,3319.445342570538,179.67317184
2024-08-17,16553.889324,182422.974744,310925.0791872,4950.6865416,10301.4936,11197.152093600002,30456.0357912,2357.100864,159144.4010088,115755.54631199999,8376.0629256,6892.124068800001,21099.411576,1597.4310857760001,13243.369751999999,5393.943338399999,10765.6379424,45371.727072,3457.6897032,6178.838306400001,1890.2342736,6443.2709496,4814.801632799999,937856.4155999998,3575.8432368,1341.81205776,11121.145992,8576.6243904,392783.704848,2542.0046616,8235.858167999999,188206.162848,16145.6601024,8814.804955200001,7957.365415199999,4438.0292472,1723.2411808799998,2842.8775416,8174.191809600001,45008.474255999994,15916.3413048,6757.183425599999,11297.493684000001,5805.4605984,98398.429344,4134.97494,56026.4859504,17465.9026248,4333.929235199999,8781.4701288,14997.297441600002,1934525.3759999997,15919.76382136345,225321.42816,3983.2390263676607,30.230025984
