date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-08,71548.164648,74268.10911599999,71547.257232,86255.23734,76580.751672,81561.20385600001,82288.58958,72004.035348,84267.282528,72229.831704,75075.682572,78129.048528,73231.13448000001,74715.70712400001,71807.958648,71151.719868,72996.05196,71317.43334,72836.61696,71961.68034,76698.07628400001,72930.065796,85469.18547600001,84930.53536800001,76880.904408,72977.09763599999,74282.494392,74641.19284799999,80846.683632,72732.647628,74159.27082,92404.44878400001,75464.336232,74775.813336,71167.04971199999,71177.778324,75882.28176,71655.66104400001,80215.838244,77283.3906,76140.001188,72046.4382,74936.508588,71854.567992,74938.25829600001,85223.116332,73810.977948,89218.54836,73902.234816,73822.809888,71855.23608,117734.54112000001,77612.8927230835,608642.612352,71914.66991901398,48808.03392
2024-08-09,37622.10726,54562.539168,33361.575084,109464.885,50917.577939999996,95768.32932,116154.66096000001,33613.023168,84305.917908,35842.785444,43044.815772,83204.187876,40036.167648,52836.25982400001,32145.888744000003,45170.532684,109215.87814800002,40165.538904,47728.200240000006,38717.558064000004,60775.149312,48558.676284,104409.44064,100087.94268,65306.304000000004,43730.912339999995,49818.246372,48789.08478,67223.07774,44136.730332,68942.335464,138673.33380000002,69864.306408,61347.723192000005,34777.833192000006,40410.856476,37525.985316,43527.15306,73627.936416,73999.520892,64715.00399999999,49982.803812000006,54840.07281600001,39660.607368,45867.445884,98068.63859999999,45358.308612,58905.751608,46695.233808000005,45335.84450399999,37100.3328,161892.12096,71448.23591709137,477794.668896,41770.58638930321,19933.62912
2024-08-10,49578.7662,72187.84119600001,32415.228647999997,179083.38276,61235.841348,143623.03644,90014.97924,28199.141064,81870.95736,38433.197304,83514.663792,112178.67120000001,61144.08983999999,47068.658496,64643.874012,206945.57484000002,104885.438976,72084.32082,44987.621832,49879.732608000006,57805.76178,39248.211636,130449.93948,116603.57052000001,65334.002867999996,66912.294348,68335.604856,57903.442488,64840.688892000006,54492.97194,129721.32072000002,154936.55375999998,67384.12442400001,61816.0221,31740.51366,83639.211444,48103.605324000004,37090.453716,88517.825568,81076.799556,62354.86218,42400.18137599999,62168.7528,89427.016332,98455.47948,118613.57796,44429.091084,46683.125928,47856.581028,57902.363891999994,29043.672443999996,273331.41120000003,90207.89211988449,600668.657856,47485.91246008873,26207.516736000005
2024-08-11,100567.53914400001,71941.828536,42588.7632,165544.09992,75250.469232,198155.65032000002,83768.433552,34311.574080000006,67109.736492,58005.503568,64791.151452,115647.69167999999,78001.2477,51648.36263999999,109262.50596,98662.549392,92372.62712399999,268472.59596,83838.027888,74194.702488,60391.417212,63227.831904,142459.42176,141242.9238,67490.65918799999,78109.96752,69468.369228,93361.64446799998,112737.90103200001,77535.19368,106869.58128000001,220394.20356,86109.82613999999,94479.212268,37602.302328,87443.287776,44404.43598,39783.510504000005,110047.76964,81681.471468,110193.28559999999,46618.697232,101784.56349600002,71523.552528,121250.75274,127912.70843999999,57334.781448,139450.934124,94031.3826,172754.59291200002,48898.063691999996,686512.73952,110778.74751091003,759330.0288,61172.7974653244,25796.567232
2024-08-12,71373.73535999999,64752.558516000005,98157.355092,232283.04444,578107.16604,123523.4448,95601.09779999999,47340.97704,58625.74476,67251.001032,215110.11456000002,118454.70240000001,60161.289300000004,53390.892311999996,54727.953480000004,49801.35474,82919.8674,440735.42232,158750.97011999998,164348.434296,77696.36046,163718.18604,156116.5326,249672.55644000001,100803.39192000001,121271.7528,54113.961924,381813.5556,238731.82056000002,78243.57151200001,84041.926596,373359.02292,135995.80212,281262.31128,32181.808356,278983.91196000006,40400.870148,51511.694796,87153.876288,80400.25818,176950.14084,42205.661496,445061.7846,114545.74932,157434.09156,130696.50024,128973.97519199998,434303.71668000007,100568.07287999999,627563.65356,40482.388439999995,1230157.152,191996.01802825928,1302223.74624,63044.74289417267,25800.208128000006
2024-08-13,57934.240416,65011.923432,42138.06191999999,209941.2702,452569.75883999997,103185.40104,78453.221328,40039.224264000004,60729.33744,51974.87526,109283.1048,106210.9638,43918.87446,48915.300384,30566.728944000002,52260.687756,46093.250772,290914.24535999994,115366.7286,140087.2536,58438.652471999994,120880.70099999999,119557.55411999999,139059.03528,105055.93404,110119.67053199999,39771.04266,112764.43079999999,106605.126,63404.682444,72644.39478,197680.03884,91923.09138,105785.55298800001,32781.070656,291708.08316,29202.416784,31759.597152000002,70819.264116,111405.23136,286584.49728,66727.06279200001,130588.511364,157286.828592,62334.853128,121799.55528000002,96547.0293,93612.38061600001,76694.900328,194303.50092,36596.430396,885399.2927999999,122656.60092830658,859613.3683199999,52529.35756444931,24377.208767999997
2024-08-14,66974.781312,77873.557032,30434.363064,138268.87056,1238841.0,139130.76672,66463.936776,31666.259664,86887.5552,40309.786512000006,71351.003952,99317.74824000002,86349.935304,46456.498296000005,23510.80512,51852.39948000001,59693.429952,459633.61656,83109.4992,125442.40176000001,50028.360264,140527.73592,110955.46535999999,123873.894,71894.476584,54118.26280800001,45126.669024,71908.706448,82271.095848,65549.26490400001,84147.50663999999,175718.44296,54594.951696000004,55264.14324,31315.516704,180559.27296,23624.157167999998,41269.949712,68399.44128,94052.88647999999,103511.291904,72712.508328,56464.11288,64110.54096,44116.154712,119912.74992,73875.525552,64801.68760800001,54777.973895999996,147399.52104,37977.548976,1719290.6208000001,105564.1224861145,430464.98303999996,49907.63547420502,17037.26784
2024-08-15,63771.86808,100363.41072000001,63351.009360000004,122770.24632,432655.05888,127092.10824000002,73032.274296,30605.691024,120170.88936,67586.877144,51399.78292799999,111206.96063999999,119406.63167999999,48683.119608,40810.109904000004,88132.51008000001,56622.53375999999,230491.03392,80597.49912000001,82076.827176,69399.501408,461880.29951999994,138105.07128,114074.31960000002,64195.013808,49547.27426400001,35044.515,57496.59936,114133.63751999999,54064.647935999994,84416.37264,237859.72919999997,108887.97081599999,49555.099296,40994.782128,57564.028080000004,15792.197832,44485.172351999994,65706.83712000001,77165.625024,68813.78846400001,55330.792416000004,45589.559832,47939.52384,47793.497904,120460.82832,58217.2218,82035.526896,43328.88936,74986.60147200001,32761.023911999997,619615.47456,105452.36577987671,370859.00544000004,49249.508929252625,15248.335104000002
2024-08-16,121895.97919199998,126729.97992,94670.1324,115180.50959999999,210179.23200000002,111401.23319999999,75937.932,29525.338512000002,124204.06296,67752.247824,46308.483648,108767.2104,69703.644096,48417.147576,63006.270335999994,94534.7868,238102.00991999998,509147.20584000007,88268.817312,73605.21408,59978.224872000006,176590.17576,129653.22888000001,668805.4439999999,71262.966672,42728.603976,40744.316952,70015.744872,148764.65184,92776.59432,93157.02648,279194.72904,178142.21352,56446.503696,54878.429231999995,38061.536040000006,28039.006008,24297.095232,61937.51616,108043.20215999999,96397.02216,44864.925623999996,50255.064576000004,44166.627216,48161.110248,111743.10504,51756.103440000006,100590.94080000001,39768.788160000004,50186.57421599999,555498.0864,967285.7136,115188.60168457031,473273.96256,50684.73815917969,19373.131584000002
2024-08-17,111776.33145599999,218559.55896000002,86991.147504,116578.07280000001,118414.95839999999,120466.01663999999,69312.03393599999,43275.416832,116645.2812,70138.298088,98378.24025599999,100622.41632000002,61128.12419999999,48077.8632,58086.123408,159705.79703999998,127074.80016,311413.59792000003,72272.38392,47327.485896,53191.09728,115910.136648,118476.53783999999,1497531.8232,98571.59784,34506.169776,55072.29571199999,115169.97744,107801.66448,84852.98856,96647.2344,384427.62432,118524.23064,86377.5252,45160.233696,90093.505608,27361.232784000003,26175.138984,64922.444784,154952.41032000002,94145.60318399999,43681.648248,74050.725744,99529.21440000001,89475.011424,96890.13504,61595.04945599999,88954.63848000001,55058.396543999996,56541.774600000004,350042.16744,2120506.0416,118708.74352455139,520936.0128,59274.2486000061,19616.370912
