date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-01-02,2461.6206553248003,2461.6206553248003,2395.1525197248,2397.6907627248,2803.2122353247996,2397.6907627248,3171.127891968,3214.026291168,2461.6206553248003,2397.6907627248,2395.1525197248,2996.1357673248,2936.3425825248,2397.6907627248,2803.2122353247996,2803.2122353247996,3008.6286079680003,3214.026291168,2670.4698100848,2461.6206553248003,2125.1057946048,2461.6206553248003,2397.6907627248,2397.6907627248,2805.8475109248,2803.2122353247996,2666.9197669247997,2803.3092085248,3208.949707968,2805.8475109248,2461.6206553248003,2803.3092085248,2803.2122353247996,2397.6907627248,2397.6907627248,2666.9197669247997,2700.5040841248,2808.4828135248,2803.2122353247996,3171.6203449247996,2392.03255847022,2530.6271473248,2395.1525197248,2464.1589469248,2803.2122353247996,2461.6206553248003,2464.1589469248,3195.6647089248,2530.6271473248,2397.6907627248,2666.9197669247997,8842.173408,2803.0294237248,21276.905967072,2314.4947285248,0.05354196336000001
2025-01-03,2395.8058608,2400.8863536,2467.3506876,2737.2035376,2465.0139726,2464.8124230000003,2994.5165183999998,3286.3968756,2400.8824764,2192.2271811,2872.8798552,3073.3598124,2464.8274296,2870.3341980000005,2059.4924595,2465.0139726,3080.99511,3481.6448051999996,2730.685422564,2400.8824764,2464.6185255240002,2395.6120116,2459.7358128000005,2737.3977324,3006.114552,2597.7490452,2601.3063708,3014.9005788,2880.6738912,3278.505618,2123.1200304,2602.9299402,2465.0139726,2464.8124230000003,2192.227483284,3011.9046372,2509.7768891999995,2875.6195019999996,2875.6118232,3080.206764,2192.60717964,2737.4051736,2189.4948972,2531.2809636,3413.8915668,2400.8824764,2398.3444548,2823.12719604,2737.5990552000003,2660.1561972,2195.784964512,5979.9176640000005,3285.887364,21211.5497472,2033.1529146,42.166071072
2025-01-04,2192.0178960000003,2597.7295134,2192.0176126079996,2465.184790368,2331.867690648,2192.017626,3503.8566684,3754.3139280000005,2192.01788736,2464.602877728,2464.7965902,3002.9134050000002,3020.50808892,2464.7965902,2870.1167832,2597.7329802000004,3068.4308868,3084.09503292,2198.5356742509603,2459.526228,2464.79646924,2197.47459546,2197.0942146,2464.990635528,3268.8354816,2875.7900124,2597.7329802000004,2644.305095844,3153.2656536,2608.2816156,2459.619486,3281.31162,2597.7329802000004,2192.017935636,2464.9908358896,2742.8535964800003,2850.4153908,3003.4484747999995,2197.2956497200003,3524.9890705199996,2459.713073076,2597.9268348,2459.713014,2059.27495884,2861.1197136,2192.01788736,2192.4057027564,3312.7820424,2597.7329748,2932.51720464,2870.1167832,7192.567065599999,3884.7881663999997,21245.433839999998,1659.5477229599999,0.11862739008
2025-01-05,2459.72090826,3015.05200506,2454.645162168,2464.410026556,2730.65566932,2464.79776416,2234.4928800984,3006.63440892,2454.644881368,2188.7715441419996,2597.935437,2861.28501408,2730.67054092,2332.0552536000005,2597.9280228,2464.7903850599996,3271.2899436000007,4222.2390479999995,1919.6284096728,2192.212809,2188.77217695396,2454.44329548,2454.644558556,2464.410026556,3083.0614956,3020.1357481200002,2474.958401136,3536.2275407999996,2741.21147376,3281.3127432,2198.9173655160002,2198.9398777487995,2474.958401136,2454.644277756,2464.4100005279997,2730.67054092,2701.3941504,3020.1362989199997,3009.96831492,3219.9059952,1653.7542482880003,2474.958397032,2198.917072188,3009.774142476,2593.364225976,2454.644881368,3009.57994692,3079.1535264000004,2474.958397032,2465.185516128,2597.9279958,7192.502784,4383.9968364,21152.816496,1765.7861651999997,0.11862708768
2025-01-06,2464.782150168,1920.014792244,2474.949620196,1920.014792244,3020.13500292,2454.6437593560004,3752.8753032,3961.9148112000003,2464.79639256,2464.78241736,2464.782151356,2725.2446392800002,2475.3519671003996,2464.796987316,2464.7969458008,2464.811822952,3286.39546188,3552.2536176000003,2465.1847202328,2469.873336696,2740.42005287256,2198.924241228,2464.782150168,1920.014792244,3405.999844476,1919.6275910759998,2715.092829576,2605.2522760800002,3276.2419704000004,3286.39518,2464.409485368,2740.8221208000004,3009.967019676,2464.782150168,2725.239945276,2464.811045352,2352.11479884,2741.22470052,2465.1842285519997,2769.1351521839997,3009.57999012,3009.9663781128,2464.409474676,2725.2449082000003,3152.34070596,2464.79639256,1919.6264342880002,2779.6620311352,2454.6437593560004,2946.91614102,2198.924242416,8722.72368,4293.7166664,21268.8570528,1489.78466622,0.12297788927999999
2025-01-07,2198.923454232,3009.5784036,2454.6429808919997,3009.9661225199998,2465.184467556,2464.781383368,2907.8255448,3276.2474856144004,2464.7961891960003,1919.6262125315998,2464.7962006440002,2681.4465082152,3275.8402320000005,2730.66896628,2464.8110337959997,3020.50763532,2595.346674624,3150.7489846799995,2733.55246206324,2454.6429808919997,1644.0034797124126,2730.683733228,2198.923454232,3265.2980487577615,2475.418208436,3010.3538786999998,2474.948843676,3140.1917287200004,2475.35431164,3286.0099004760004,1919.6256354119998,3286.7842666644,2731.05720252,2198.9382709356,3140.1952462799995,3020.120142876,3358.88488692,3009.9685856759997,2730.669472476,3817.0399716,1909.45772775396,1909.473571044,1919.625657768,1919.6262291527999,3416.2944191640004,2198.9234357316,2464.7967835199997,3536.2905048,2474.949417156,1826.5066553880001,2730.66894468,9559.429055999999,4379.1417072,21327.8481216,977.708637,0.009047109542400001
2025-01-08,2124.49049208,2125.15791912,2804.401872,2124.4905352799997,2945.8819151999996,2344.9876250400002,3045.8679912000002,3647.8099655999995,2344.95417528,2780.7862248,1666.881337032,3249.96554016,1666.8829123199998,1666.881337032,2344.95555768,2802.59827848,3626.1785376,2946.791556,4248.9126936,2344.95417528,2999.410084773173,1523.5644834,2124.49049208,1690.49565,2946.0904848,2945.881872,3603.055284,3716.7345072,3602.1773304,3024.17928432,2103.557593716,3918.3428628072,2344.989203352,2124.4570336799998,2268.4428,2529.24430608,2591.4169079999997,2946.7578599999997,2344.989203352,2311.09379928,1666.88131608,3023.270725032,1643.9008849847999,2322.0071817840003,3076.9888176,2945.8467504,2924.9459532,2785.7411352,3603.055284,3035.3317704,1666.881337032,8722.846368,3588.7282848,10604.5530912,1297.8413561520001,0.0003454926912
2025-01-09,2464.7985719999997,3143.1138048,1786.4830903463999,2725.2469656000003,2464.7969304000003,2725.456248,2962.9502784,2190.840661872,1786.6922975999996,2464.5896352,3142.9048896000004,4309.6876632,3143.1125519999996,2321.5151448,2464.7974919999997,1930.1833393344,2321.5139568000004,4345.456356000001,1929.7657469448,1786.6922975999996,1929.7670317343998,1786.6922331995997,2464.7985719999997,2999.8301236704,3416.3780832,2465.0059967999996,2595.0215916,2617.9405416,3286.39572,3429.6796655999997,3142.6955424,3286.3954176,2464.7972328,2608.0819344,1643.1995334073608,3286.0443744000004,2855.2621283999997,3286.395936,2464.7972328,3546.9106416000004,2321.5148424,1643.1988540024513,3142.9047816,2572.2791999999995,2594.9883600000003,1786.6922975999996,2321.5151448,2748.1984992,1786.6906344000001,2451.73932,2464.7985936,6286.367232,3309.2117351999996,10495.7805888,988.5375864,0.0024378246432
2025-01-10,2464.5877344,2144.7261813023997,2999.8291633344,2608.0804656000005,2608.0807248,2607.8715504,3676.892508,4642.6069511999995,2999.6198424,9427.5964584,2464.7969304000003,2725.245432,3403.3519545192,2608.0803792,2464.796628,3285.9781056,6428.7416016,3166.0978895999997,2999.8291633344,1643.4075739587984,1643.6159173512,3964.2931656000005,2464.7969304000003,1929.7654657344,2464.8304536,10329.2447616,1917.1238180688001,1916.9486059367523,1903.64717808,3286.3941,1643.1982704000002,6643.285195334401,2608.0804224,1643.4075739587984,3501.3570408,1643.6159178048,2962.9502568,2608.080444,2608.2893376,3520.24142832,2464.5882744,3546.8438112000003,1643.1982704000002,2487.5407044000003,3286.428876,2321.5134816,2321.3046955464,7581.461911199999,2321.5134816,6783.507864,2464.5878856000004,31137.594048,4366.891872,13003.598304,918.77314392,0.0024378255935999997
2025-01-11,8413.2296568,4688.5132368,1930.1827777344001,3546.6346907999996,3286.3944456,1643.6159173728001,2891.270916,7354.141597310399,1929.7651629023999,3259.8654847919997,2464.7972328,3403.5592824000005,5476.1222880000005,5189.8312008,2868.5293128,1643.1979679914466,4498.2911088,5190.0448896,1929.7648600704001,5190.041224944,3285.9781056,12757.889016000001,2464.587972,4903.474280320799,4355.140111199999,5200.4224152,2464.3786896,4903.0547508,3286.3942728,6950.408104800001,3143.1119903999997,19853.944775999997,6806.1503181024,8376.9064704,10588.706748,2999.4099496704,3664.04235696,3143.1110832000004,3214.5794784000004,4022.6701680000006,5046.7582656,1929.7654657344,6950.404381824001,5534.5329,26082.990295199997,2464.587972,1930.1827777344001,3306.2501808000006,2608.0803792,8876.3452992,2999.8291633344,62867.61216,5830.8524136,20463.677568,1146.2689944,0.0024378281855999997
