date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-06-10,11075.1993036,4952.530609200001,4378.0928220000005,6951.712032,6801.171933600001,5115.7633968,5148.3715452,6329.223338399999,6254.320813200001,5885.190648,4399.694658,6640.3902492,4949.7540912,5385.717529199999,4255.6362336,5053.9363127999995,5074.8915528,5809.2011892,5481.0188892,7737.6423852,4386.654122399999,6366.3705972,5387.0871852,5542.4404331999995,4368.4485732,5144.40261,5391.631652399999,4621.7642904,10339.854400799999,7163.382312,4280.967234,5132.652804,5373.5800032,5873.439805200001,6178.4522172,4614.3236844,5004.4974012,4729.7616444000005,5091.0439572000005,5115.536586,5772.4429572,7678.812139199999,4502.8847808,22280.3099496,4814.933997599999,4842.9863172,4596.3377856,6253.371018,6726.5702532000005,5511.9379608,4938.8091552,30350.875391999998,5921.337546,47953.75530239999,4834.9035972,1387.2645792
2025-06-11,89597.84004000001,21958.786692,2498.4629172,18117.105084000003,21603.571884,76120.14020400001,19900.798523999998,35064.085248,68683.310316,36978.44994,7418.5601652,47353.722012,13568.2073784,25411.167179999997,33397.558524,41053.015404,23009.011307999997,48542.713560000004,22842.18468,48446.56008,262809.65538,38247.443675999995,45764.57178,37383.997608,19900.341748799998,26410.247748,34123.139568,26255.752128,67795.09174799999,16762.444776,14882.50476,68155.704612,21608.766143999997,65491.096752,73582.687656,26581.027932,35602.508988,9233.431865999999,20280.104676,50605.369704000004,22838.761404,20846.391768,19144.048032,55086.046164,33877.619496,72949.90248,30177.665316000002,26869.705452000002,87218.09460000001,35690.466996,16750.064088,361146.29760000005,48042.360468,326978.805888,20530.153944,1328.4288576
2025-06-12,94946.429124,28077.852851999996,43035.685668,22145.238864,32708.044728,37440.71391599999,18588.636648,93181.093956,89080.80667199999,35436.880403999996,11597.550516,30712.02912,17473.83354,21922.517268000003,58457.939004,29301.777108,26254.016892,48119.37829200001,22740.428268,43555.540536,93549.54837599999,22129.658028,24181.276464,37508.142744,20852.29872,28285.695827999996,28938.381840000002,19841.482224,68476.88052,18274.218624,16235.197415999999,56650.834188,33756.569856,57216.972347999996,55978.168716,26529.51096,24267.596004,21258.170172,41500.059804,25648.909092,33258.332160000005,59272.464312,43002.38484,43405.005384000004,30790.766735999998,55237.919976000005,22716.342756000002,37016.714556,51853.507668,26818.529004000004,17589.371508,181837.84608,48128.138928,305383.108608,22385.187756,9286.314336
2025-06-13,76963.625604,46009.334124,53509.72266,29237.605776000004,51513.436512,27892.694411999997,26661.336839999996,117571.518036,166518.98352,19450.205351999997,38712.570192,21048.29442,18218.439108,40266.877572,92995.51572,33299.03358,45621.49392,114135.23267999999,26552.677716,62417.444076,23023.716156000002,43748.423676000006,39204.87652799999,28043.89074,21531.081096,33952.141224,65646.56167200001,26395.888823999998,153937.43819999998,50608.997747999994,34075.190916,128045.06676,27549.946044,61523.346743999995,62244.269856,50480.241444,64870.819595999994,50396.672016,50340.442788,37189.813068,38674.918584,57272.279039999994,61476.371712,94172.44572,114557.89499999999,34897.452588,63304.81462799999,129467.90304,81194.751,43708.04766,26266.859279999997,218935.9584,66667.284576,455905.664352,31164.145739999996,11185.576416
2025-06-14,64371.56918400001,23274.691308,28798.690104,45755.996472,40223.967767999995,21662.383608,18712.662444,68604.471612,237800.07215999998,27205.670016000004,9770.8341528,32558.398955999997,19045.777212,43853.820120000004,55336.373964,23461.972704,44023.007088,32716.735380000002,12372.167944800001,129000.307428,20386.036152,13850.384454000001,17841.763512,27173.509992,28203.06708,18171.310392,40273.17138,47893.27834799999,77346.363348,40479.113448000004,22613.293692,98133.52608000001,23183.986859999997,31071.474720000002,66421.882548,18303.808572,16349.522220000003,47187.2115,25164.261467999997,19000.495188,24701.076144,52434.095904,59664.777984,99938.948688,82525.999284,14146.721388000002,27056.35602,47457.360755999995,53545.125816,36326.1753,14930.820666,316866.4704,50872.485995999996,343580.315328,20946.863736,3236.2519680000005
2025-06-15,53824.523436,9811.981656,48008.545668000006,42073.24626,31696.701839999998,10316.35278,12213.77643,55335.926088,148465.95516,14917.438494000002,1529.983998,14720.183892,28933.844868,96249.168432,44705.093292000005,15938.550144,68448.68226,7981.477711199999,5635.520676,29200.312835999997,9648.851166,11344.216482,3513.144636,22341.05442,26984.613564000003,24645.121884,47004.127307999996,28637.216819999998,92164.653792,22442.620968,30545.589996000002,192247.68744,14906.420280000002,11047.326047999999,30240.881064,12239.365031999998,10712.4955488,38267.551980000004,27335.414087999998,7745.986227599999,13859.0375112,38163.78504,63573.582347999996,55169.92728,27631.451591999998,9696.5047944,20860.121484,36437.916851999995,15861.644532,40433.502024,7982.6066028000005,251274.528,41558.097384,271951.638624,12017.915568,367.21823040000004
2025-06-16,39764.899944000004,2981.2733424,71346.02342400001,16967.9414736,36610.987392,8986.278024,15273.466056,53159.14548,192967.47720000002,8875.639368,5793.300576,6939.383184,9702.895932,76943.48284800001,32924.82492,19250.986824,28625.821632000003,13467.099960000001,6131.930256,9815.154048,7474.423176,14899.300920000001,4386.0720456,12558.645864000002,11039.152392,25615.393559999997,19445.552064,10208.441966399998,78632.061552,11496.668904,13746.853548,77445.3744,4381.6721904,4162.2955056,13834.600632,7694.754559200001,3121.6485887999997,21781.617984,9303.33816,9279.6072768,34633.727928,56399.49950400001,75228.022944,23609.295720000002,33171.650711999995,1948.2688296,8628.990264,43902.7344,9748.0502784,50195.776031999994,8946.4710816,252416.63231999998,34832.55096,106937.108928,8658.5043744,982.1071584000001
2025-06-17,11930.368392,2232.6240168,33547.248144000005,5098.547678399999,19636.23384,2929.7786832,17505.181728,32171.447375999996,105019.93008,3046.9310352,1826.0663759999998,5811.6678984,4108.328856,19478.3120064,35083.792656,13638.269376,17045.446896,6802.008804,4879.2484944,11393.4350304,28385.558136,17543.980944,6626.528676,5224.0281696,7771.169591999999,28672.425144,4436.502624,6273.6633432,85932.912312,10300.79376,5739.4855584,49002.607152,4591.1811744,1445.0177844,8831.0540736,2642.0254488,549.1363550399999,10470.107736,8368.562304,9412.868304,40674.543983999996,134732.21831999999,29503.741104,10658.033784,13290.000479999999,2184.3172152,2088.9011592,61911.086616,8235.556524,24073.070831999998,3849.3509688000004,193825.75104,20324.66364,77380.805952,4746.4819128,231.57944928
2025-06-18,6006.4912368,3745.8955655999994,9251.158176,6295.0426560000005,5547.360643200001,6764.1752376,5847.4827072,27009.883728,59895.181079999995,6927.186312,1219.2128208,3002.4776520000005,2056.0557456,13836.363408,21600.786024,11901.198024,10007.800236,6063.426201599999,5110.1827992,19996.668072,55557.664776000005,27533.002463999997,11185.925688,2637.8579016,10493.629056,24633.238103999996,5676.386904,10642.8631536,115071.63047999999,49449.442248,10720.065312,39300.711623999996,7416.625572000001,6604.7678424000005,9931.666392,4078.8037728,3143.4091632,4745.0706552,9677.0349,11192.411736,15902.811539999999,47269.170216,118528.74806399998,9101.0149776,14808.550248,6266.1097584,3725.9148311999998,137270.690064,5176.3711824,12741.9259896,1710.6003576,180115.36703999998,18227.037528,80335.538208,4895.5116312,900.7810847999999
2025-06-19,9429.77916,1517.7194532,10315.178928000001,13583.165616,6190.2749232,9126.798876,2450.6581968,49357.68912,18604.338336,4116.660602399999,2010.3911747999998,5888.0978568,1575.4910508,21041.109719999997,6058.4197752,14076.690192000002,9527.050008,4129.0877304,4155.2541648,7718.9934096,27014.046263999997,61059.01262400001,8314.046712,878.44045752,6398.060832,13951.373688,6856.1098488,9985.7148624,60759.06703199999,30254.533775999997,14598.441432000001,20248.798608,3563.8904232,7100.654399999999,15238.575792,5005.2138192,5764.4267112,5415.9326136,5007.3609888,9453.089988,4567.60512,35811.31284,125815.15944,6022.9689912,8384.058036,4596.1743384,1383.0615432,103075.73676,10857.2922936,10440.637538399998,6467.625791999999,159028.98048,14990.642568,65502.84672,4792.7135808,278.9976096
