date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-07-07,6638.37114816,6653.1595903200005,6652.104512399999,6641.8044876,6634.93780872,6652.104512399999,6675.60582,6652.104512399999,6652.104512399999,6652.104512399999,6634.93780872,6650.32081248,6660.6208308000005,6641.8044876,6832.5929352,6652.104512399999,6807.3565968,6652.104512399999,6652.104512399999,6649.7262508799995,7510.950989999999,8586.00297,7258.0520664000005,6652.104512399999,6768.3318552,6652.104512399999,6753.834432,6771.314448,7455.6121248,6768.543583800001,6652.104512399999,6652.104512399999,6719.924440800001,6652.104512399999,6652.104512399999,6683.12235,6634.93780872,7193.9700828,6724.073336400001,6652.104512399999,6628.071126600001,6775.1985384,8311.4662248,7090.2200016,6792.7338882,7002.834015600001,6706.1910852,6730.6594788,7100.5200372,6846.982682399999,6709.624416,15019.012224000002,6765.8459760000005,54655.0641504,6652.104512399999,308.7033552
2025-07-08,603.4648932,3491.224524,500.43162312000004,1498.80466692,1483.0851492000002,514.22014728,1039.1217732,741.78478728,54.996503482799994,369.69755940000005,2476.1428379999998,2361.4020935999997,2247.9954516,675.8915961600001,14634.2686932,562.7724642000001,763.1589690000001,687.5101551600001,499.2449029200001,1346.22211032,3401.984934,8833.814197200001,7423.8706332,600.1964060399999,2782.1404476,488.40303024,656.21350152,6679.445598,9394.072632,707.50030824,366.857277984,1594.39437612,698.4710406,5278.466736,369.56955132,8075.099465999999,3440.936808,4996.9254132,4152.137684400001,626.84475588,943.5688379999999,4010.2464528,9969.623121600001,1583.7118919999998,911.49578748,41506.477704,944.18106624,3497.604246,1259.4461148,2789.8018704,1730.7411588,84570.264,3164.4856224000005,27649.5177024,480.17606976,0.0
2025-07-09,404.1967122,8568.279684000001,4280.0601744,12357.985212,7069.439710799999,3314.8786572,9837.7524432,7614.3102137999995,1234.674007304724,3487.3010352,2046.8510168399998,3448.053954,2840.243832,4111.9004592,11624.7429936,319.1186268,6646.693906800001,5654.2717008,169.770935232,15437.9734056,7482.4793928,5993.828388,1971.1108728,2568.5080019999996,6620.4220644,4248.4337313119995,9915.9447456,5106.7253519999995,3081.8545308,7870.8974184,443.3105339928,7260.1792344,1576.78762428,5526.4449258,6119.0779536,7417.727766,9958.0817772,10318.767595199999,16477.676208,5774.3595684,5771.9365344,852.9435054,3109.985172,14217.3198864,1729.22358924,29080.181736000006,2158.13526552,3579.7412700000004,5752.7983619999995,20486.287432799996,5965.1303688,56899.19088000001,8931.6537948,51592.909478400004,1504.1952612,0.0
2025-07-10,3808.909376712,22724.9665776,11234.876428799998,2709.9499536000003,2564.37976032,10671.728680799999,14232.907774799998,5215.1143572,11174.245596,6133.155084,5691.364808400001,5482.7960076,9613.202634,8017.8596388,79903.104696,676.81653192,2767.8534516,22286.582135999997,2093.67375156,18275.9755248,11366.3539872,14613.062472000001,7391.3881536,3473.4110904,17321.0425272,20412.9039168,20842.119288,16362.446472000003,4841.6258844,3442.6230228000004,305.768454984,10965.889782,11091.833755200001,6281.7485256,6593.5199448,5839.2552132,3308.3647451999996,7344.825411600001,11630.7267768,4840.3206612,6708.4192656,8408.877202799998,4015.6549956000003,10588.7939472,7787.418656399999,18197.6849316,8331.4818864,10629.5580936,8002.894726799999,26622.650375999998,3937.7455236000005,170079.02208,13050.860238,85769.3874816,3076.9577568000004,0.0
2025-07-11,11503.6636536,14427.885833999999,4649.5562328,8269.770837600001,4283.583858,9629.557117199998,8423.7394824,12177.331624800001,6966.4718628,11494.2521988,3135.00981744,572.61529584,9603.6090588,7248.6905615999995,7095.3134436,4572.772218,8214.694531199999,14446.485324000001,3805.1354015999996,60315.30237600001,9624.67137,39730.767192,27729.7866288,6236.325907200001,1570.7038222800002,24232.832208,18799.4497968,3736.35476244,2290.3130581200003,15312.434777999999,680.7097879560001,7065.329554800001,11483.5526172,7496.971361999999,4439.5576524,4007.3220936000002,6381.321253199999,12270.593977199998,5409.7886124,3805.482168,8135.886639599999,8392.348223999998,4241.482159679999,4355.8930332,23035.863672,13355.5021236,11606.9435244,1177.11549,8027.194715999999,11733.976547999999,19218.15828,139539.16224,13214.506806000001,84144.32444160001,3721.5217584,0.0
2025-07-12,19708.474327199998,27627.682499999995,6320.750695199999,4158.5408640000005,5398.5740921999995,8781.18231312,130540.92732000002,9185.770094399999,7569.7372152,44080.969176,8657.730716400001,2825.2733796,7991.365575600001,12665.106323999998,3382.7854878000003,22284.2688408,10405.9931148,6949.159279199999,2360.51868276,19004.0522652,23496.127218,7605.752231159999,232656.842592,11213.4373488,25055.647542000002,3548.0095761599996,31945.774409999998,2279.19634272,27314.56674,10946.773242,6275.925100800001,4059.0699479999994,10050.573096,26975.642122799996,9174.7003428,243592.763292,24060.161915999997,5069.101769999999,3538.05087564,4641.9834888000005,3489.2017596000005,11283.38127,3197.7744623999997,5523.4287828,9915.023257199999,20915.3171304,7314.9073542,8806.4462088,27361.881756000002,13124.981199599999,4074.3183319199998,612178.3008000001,17208.6804072,186416.567424,4357.3922892,0.0
2025-07-13,10374.5450592,99161.096616,9954.52254,11820.494073599999,3958.9795656,9084.9293928,22245.455088,11288.782728,434.99872367999996,426991.2246,4035.4932240000003,845.70661872,15142.0143528,9023.8538808,1806.7129487999998,11618.4209112,10688.963472,2658.8844216,6559.6382928,26693.770859999997,11644.0784064,3807.8366112,10193.3932464,1774.930644,19687.270104,7699.488479999999,24921.655992,9847.320552000001,136347.56697599997,11316.4579656,18975.722147999997,19448.907494399995,31332.266964,299421.639288,9008.011944000002,25196.678856,17457.94998,49708.394496000015,9236.3320656,1201.76565192,1660.9338295199998,12728.289736800001,4023.102168,9156.0014712,22235.976144,284652.20015999995,4881.5349624,8978.1298992,3714.1076015999997,54956.16460799999,2213.0874216,691758.1440000001,21117.860136,142887.49747200002,4884.0134112,119.82784896
2025-07-14,4445.3752776,15985.683504,5881.6841904,15286.685688000001,4368.4565328,12885.771470399999,21670.047396,13794.532200000001,48.977489592,21174.9223032,8971.0393104,5129.0377416,4655.242152,7707.1500216,10724.72076,9907.939008,7665.218848799999,13272.469488000002,10267.1013672,11119.303944000001,32542.872595200002,7352.625441599999,7567.7038128,5953.4879904,21435.864624,612.514944792,42016.267728,13534.240276800003,420274.51344,5387.0302368,9736.726392,8866.0214064,1117.0207584,759419.44416,21299.889168,10850.123016,11789.8411032,358701.59231999994,302.3858495376,12919.77432,110160.46224,10405.9920456,7174.01124,7048.9500048,11354.44608,116866.30968,8992.2991752,2491.4491488000003,8338.3187832,433832.18111999996,850.6616997599999,1558364.2272,15318.504648,209737.77292800002,5411.1444552,1.6152229439999999
2025-07-15,5865.2427888,48193.17804,3698.1550728000007,26297.148744000002,5539.8972168,20762.79372,22240.875888000002,20133.043992,39.28318438284,14459.370912,7595.798328000001,3090.0703824,10425.727404,12163.131396,21809.075688,9180.967248,15558.79752,227127.975048,19870.959744,18560.381688,299533.69727999996,8051.340988799999,43475.809752,19319.422968,19335.166128,24276.561192,38589.540479999996,17462.756304000002,48690.99648,19685.45646,10805.256792,12075.8293368,26367.532776,30433.2784416,13330.3616568,9737.0556408,8995.767141600001,10965.422088,9690.290625599999,10579.1354856,33704.707608,15449.097167999998,8350.400678400001,13247.180964000001,4590.987444,105676.7904,6095.0378664,9223.5435912,16508.009088000003,99091.09404,15389.198964000003,582482.4048,22500.431208,119320.670592,8099.892345599999,0.01456644816
2025-07-16,3397.9171031999995,15687.623808,14615.470116,8778.5627904,7687.7468928,225184.51008,12446.798169600002,15186.75156,2808.7288488,172925.80812,7032.282516,3071.2798080000002,19977.315552,4100.8810248,24580.145412,14177.6616384,7958.391696,22523.709744,6307.4035152,3319.7606913600007,1202803.2792,10673.939980799998,958.2991258320001,2852.8377984,14896.362132,52983.694944,314496.82187999994,115839.45151200001,11011.2884568,52354.561464,15655.4970696,84461.190264,4614.7393656,17384.7103848,1242.729972,18102.7106496,20962.328796,11106.9085896,7471.172397599999,11134.49004,7016.797152000001,22620.09132,5999.8582224,7113.646713600001,6734.506816800001,774397.7913599999,442681.47864,19827.502056,10303.438032,18859.80132,997.5489703200001,2276941.4496,22960.583352,304261.01971200004,5621.962723199999,29.209331808
