date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-07-29,135504.91836,135169.22736,135526.61988,138109.0284,135095.63075999997,137440.92096,135326.07576,135812.05956000002,135505.0566,135438.01020000002,135402.13908,134985.32496,135067.89096,135249.24456,135392.85648000002,135508.6584,135861.89292,135377.70192,135286.92359999998,135010.68876,134956.51272,136134.756,135743.73228,135494.7318,134827.17732000002,138235.14324,135139.57704,137061.68975999998,135540.37368,135398.79108,136035.37332,135310.06692,135597.75192,135906.86952,135377.30124,136578.73320000002,135440.90675999998,134304.22079999998,135338.7312,135801.65268,135985.25052,135238.3992,135433.7226,136316.80404,137134.81115999998,135296.16516,135591.63264,135549.07848,137827.74672,141679.3518,135955.37772,142953.83712,136143.70596,1086792.65568,135070.94304,126714.43008
2025-07-30,123442.36704,127073.0376,122155.88184,134665.90956,135488.21399999998,138569.4756,125011.67184,123623.29404000001,135947.98404,125867.82456000001,123546.08916000002,136704.54672,131439.5586,127051.00128,122804.56547999999,122990.13107999999,127177.59023999999,122300.45388,124904.33171999999,128038.93884,141551.80056,127646.15040000001,119215.03967999999,120435.9246,166159.79820000002,149356.06848,133079.20380000002,128600.79156000001,123087.16908,123186.87036,117417.40344,141810.91416,122723.92404,122783.6178,126914.87376,116923.32504000001,123909.61716,145899.14399999997,126964.56779999999,124833.22884,113624.66376,127256.64192000001,124672.57884,122816.3094,128290.19868,124614.97596000001,125380.11276,125488.33631999999,149928.32376,170259.8184,152802.77616,210474.38304000002,132692.418,1039441.1616,123109.21943999999,94840.08768
2025-07-31,127250.25588000001,122580.02052,104289.78851999999,138951.7956,210251.36844000002,154616.16204,124973.51868000001,108333.53315999999,181655.11764,123027.15779999999,126868.55688,176749.96716,138863.0682,130270.42188000001,117069.52248000001,110718.87516,129037.61916,103205.60459999999,120750.92387999999,139448.76084,173532.1212,114748.38,115910.26128,104319.82224000001,274051.07568,177057.0792,158840.02152,132176.88,111794.54652,99747.33012,108939.86351999998,183521.95704,133374.44016,138703.2282,118803.77676000001,95680.5588,120573.58248,191330.45316,129386.84472,138440.77848,86896.316808,127076.07348,128289.04092,139953.20507999999,142809.03288,124825.50468000001,124233.78024,122539.16412,174748.61808000001,254792.54808000004,217653.696,301685.75711999997,149853.88152,1122143.0169600002,117962.71164,84982.55616000001
2025-08-01,134031.19355999999,130108.59900000002,111956.1858,147298.97628,279589.81788,159437.37816,162340.63848,109563.53436000002,226616.65164,132607.80539999998,142534.14695999998,302804.19863999996,143134.38828,142782.66035999998,132660.38736,136172.718,137587.58712,105975.75276,145855.7496,162335.37996,200400.70032,187493.41404,123739.48908,102994.42356,318868.67592,194695.53336,179846.77968,145772.15976,143280.19908,93512.953764,112341.66803999999,208663.45632,161652.5208,151627.35708000002,128129.82624,92232.56592,193201.30800000002,216903.99996000002,145887.0534,132687.38412,76406.82339599999,135706.18824,139839.52428,172184.78124,152160.54876,132906.02472000002,155517.1488,123773.94863999999,199166.37048,314062.65216,253314.87372000003,323286.27551999997,183108.55572,1291664.97504,130075.98300000001,69413.76000000001
2025-08-02,149819.0526,132465.01212,115762.64471999998,135027.75384,322641.61704,145769.62392,246031.27055999998,98009.93736,241860.08159999998,117619.3818,140660.20224,245457.28296,155474.11512,133966.74672,125249.86907999999,137934.11808,129262.365,102913.5888,150119.78184,137832.36696,197253.7758,187626.9528,125124.10956000001,102420.03420000001,312220.89467999997,186982.84728,181923.91668,146311.56468,134676.25812,97791.65316,112080.04452000001,212098.6296,157443.56532,156706.5636,121810.824,83807.86316400001,168207.68016000002,216414.45971999998,134524.17792,113067.56412,73255.438368,130731.72984000001,121467.36024000001,189885.2004,156571.06896,115018.71695999999,149287.18068,143939.3436,203769.71603999997,323918.14464,254968.06212000002,337206.4128,186232.36608,1282381.45056,122807.53548000002,68889.66623999999
2025-08-03,126045.87875999999,123819.66828000001,105940.49292,120921.98508,354025.41264,133718.5476,204447.1968,82191.44142,266561.78975999996,119322.47592,128181.99132,208482.60276,180577.647,116023.01112,129353.17788,132152.33592,122738.86368,89896.784688,154074.51288,119885.70456,201973.8726,168622.06968000002,107395.24104,111382.23816000001,305766.92484,181897.48908,175779.6066,133229.48904,109169.67348,98177.42376,102658.49604,206135.32104,190614.11184,153284.4432,110749.91003999999,75533.767596,120695.9076,210634.41635999997,131002.05492,118665.33804,84806.26182,110958.82199999999,115261.14888000001,207996.42132000002,151877.6568,133288.01856,124504.32672000001,185771.54088,197212.22496000002,319655.00124,245836.43316000002,374201.7696,186809.38308,1240611.2496,115389.57923999999,68810.40288000001
2025-08-04,124801.80408,119402.0784,96168.96719999998,111210.18336,325421.14608,129703.68432000001,179399.53008,78437.669112,283068.6804,135744.35328,145769.87016,193103.59175999998,207610.69823999997,107167.50792,141501.25871999998,130248.31536000001,136360.74168,96059.32344000001,149007.58272,116362.2564,270481.72752,147365.43839999998,96248.01456,113561.20296,308854.02816,176388.84432,175578.80112000002,133372.24128,96715.0152,120403.45439999999,90859.13856,198522.04248,219612.53736000002,152976.6864,106649.3628,72702.36215999999,111439.05912,210784.96079999997,133633.00944,114839.39807999998,101559.01607999999,113081.37624,117584.07768000002,266758.95672,144068.3172,155209.446,118430.56008,183506.8932,199304.34047999998,313361.8488,276504.31296,337710.91968,190135.00871999998,631129.8297600001,113130.35856000002,69025.62528000001
2025-08-05,120533.238,111120.99264000001,102385.86624,118849.02984,311782.6944,154801.16928000003,293871.20112,76072.87152,318527.48231999995,146521.24128,165524.40288,181480.96656,270274.6008,108736.10640000002,152546.04504,114827.09040000002,148786.06176,97839.0792,156134.64312,131124.66191999998,329118.84792000003,120506.95079999999,99043.14959999999,101081.1204,305873.94744,170992.32192000002,199455.79968,126439.7472,94660.92648000001,138615.10344,95786.07912,192247.0416,214459.09055999998,180871.47288,130727.77272000001,80512.7796,105633.30312,222003.72648,161633.80224,118383.69888000001,118243.91664,232185.90816000002,133533.01440000001,354027.95064,163716.01848,144735.31008,140158.44071999998,132489.33696,213456.45744000003,318613.72464000003,334054.91015999997,369276.7104,202953.58272,686666.73024,115963.61327999999,72243.55008
2025-08-06,115574.21063999999,112081.12344,124591.19543999998,131503.20192,319009.23576,235276.9524,405051.3864,86675.0544,438997.43231999996,170425.68696000002,164284.65792,178255.27656000003,249950.04840000003,181745.16911999998,167654.00087999998,124360.30656,143840.4912,109859.2524,173043.162,157007.41056,324596.32632,130087.8576,95469.15528,97521.34968,314087.6196,169202.07936,621796.39416,124340.69592,94813.53047999999,146005.53696,120405.5064,196352.42183999997,207332.49455999996,224492.43743999998,143829.432,90040.56984000001,109025.92872,291900.04776,158726.7252,132789.19248,100374.67728,308193.19776,143818.57152,284591.35944,248229.43991999998,186272.97408,140529.9888,191291.79456,291224.18808,348152.44176,343275.15312000003,1026164.4192,246300.98327999996,797486.5324799999,124191.05544,82865.07359999999
2025-08-07,121724.93160000001,120505.01112,124851.26808,306648.61199999996,406095.7464,258162.45047999997,387042.87888,98870.67273600001,438946.8624,202777.57512000002,166605.87168,210759.71472000002,216640.10952,236051.05536,178789.95216,161505.49176,152884.79352,99757.31255999999,243781.07760000002,146947.05936,303454.87272,206024.49576,130930.32456000001,105956.99855999999,368938.98576,173082.59496,1040305.842,141570.84096,102983.2812,133091.66808,124946.40528,242621.00424,228209.95727999997,288502.7112,133901.9532,88504.05816,138679.1496,328583.81591999996,142653.41136,137537.52048,94148.1468,294646.03416,183023.29296,400126.42656000005,242149.81319999998,174840.44184,142429.18824000002,209309.50584,321928.06752000004,394275.5244,309343.15368,1254650.256,285939.63792,910278.31968,136275.16895999998,83530.06848
