date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-18,146632.80959999998,93463.583076,97378.637292,108722.8116,131565.12803999998,106623.74304,91579.60008,97812.17801999999,94312.74160800001,99309.12012,100384.08408,114984.59760000001,97714.76472,87082.08372,116897.17932,93389.6952,137408.13756,99756.927,96400.073592,102521.46132,107596.49040000001,101700.1332,112603.45248,122570.35884,113118.41484,90458.87176800001,114581.69820000001,94667.32008,110914.59384000002,107060.53824000001,132265.9638,145962.72684,106102.69271999999,89793.69706800001,101202.22512000002,111500.93015999999,93457.513152,105734.89548,136392.27444,120143.28024,108164.18916000001,120468.17663999999,97216.369992,112323.70764000001,115449.61211999999,111829.4694,104470.12908000001,107690.91803999999,106140.88152,113671.60811999999,98824.40370000001,185585.2128,114276.59388,867139.92288,97777.65744000001,57925.12608
2024-08-19,210083.02668,61937.080164,70992.808452,101952.7344,163695.06108,94949.09208,51908.80356,73800.878868,65319.94386,75031.136244,77190.49558799999,119323.26972000001,77935.838364,39437.987616,122098.60295999999,59078.526444,180433.6668,79292.12796,67726.44500400001,84933.544896,101595.93912,83367.45406799999,121111.68707999999,144581.23188,112824.22068000001,48360.886163999996,121235.38704,60577.924247999996,104608.91232,95261.77152,168568.13448,199722.03155999997,92365.69752,47539.419696,80143.45307999999,107689.9752,59039.62614000001,89819.673876,184199.95188,127481.6664,98361.50760000001,140876.70228,70803.652284,110474.7822,127062.09504,123408.54252,90358.40303999999,101227.34160000001,93442.75667999999,124696.73844,71993.68344,221486.16672,121238.28792,812536.8595199999,72961.245072,28275.99408
2024-08-20,237979.14804,55026.165887999996,80490.915972,127917.28656000001,173504.74536,95078.94588,42210.7956,89060.401908,78745.938804,70681.43484,73639.364328,130869.68256,77797.83564,32272.539588,132566.19084,63525.68964,198133.0524,75506.381928,68046.487452,99054.27792000001,113275.32804,103485.60324,148704.95916,180863.83836,115042.76532,40979.14254,136850.5422,54415.469088,136013.05080000003,94209.32124,177641.83548,211947.28164,106557.36624,60147.358272,79890.856524,113243.79636,58493.09214000001,98706.7242,211704.9912,135550.83023999998,113950.044,155150.07192000002,79858.688832,110337.70535999999,154856.99339999998,151979.24699999997,98700.3414,105845.00796,94779.95868,182732.38416,70881.209892,348240.47039999993,138196.34856,893945.6092800001,75950.342604,29264.248512
2024-08-21,243967.88196,57837.698676,73133.34372,143835.45948000002,173846.3202,109578.90384,48736.44611999999,82539.165996,67761.50504399999,70736.11794,102096.41932799999,140281.86312,80560.180692,26319.758544,166749.25788,92858.338872,200605.92408000003,75997.73991599999,92193.55135200001,120924.38160000001,139682.23307999998,99062.07703199999,192069.32111999998,179321.24952,123686.93195999999,45496.15722,132202.13688,78541.784892,135811.2744,109228.26348,181314.18864,216763.8624,110784.26052000001,53668.265364,114847.67304,159957.3474,68153.883516,90751.39884,236702.43144000001,152697.5064,114530.42843999999,166381.63992,73221.1758,112093.48296,168050.40840000001,155632.09968,106099.98624,131092.66152,145329.60492,375657.534,84899.911536,543269.4624000001,159819.59232,1007731.99008,79730.57501999999,23948.8704
2024-08-22,253721.39544,81254.712168,72205.992324,131357.95380000002,186010.01244000002,131995.13543999998,45032.665391999995,103348.6398,67532.019408,96033.1032,260259.58476,160737.86448,119596.20191999999,37211.92974,208744.8948,124860.90924,226559.646,85508.976348,83987.938368,105213.73715999999,255082.21272,117763.83072,204958.89216,196062.45911999998,219267.21816,55938.431196000005,175121.74943999999,267632.01792,252876.68855999998,223378.80192,192053.9376,233918.07156,315684.52164,78330.037392,131078.94552,201695.70888000002,88141.631112,118457.94456,349718.97528,253001.38427999997,116439.21179999999,223273.22759999998,96889.85208,145488.4254,199549.75104,230910.56964,134999.79479999997,131251.55328,310091.36364,211869.82296,96273.2304,466289.91359999997,221324.75424,1318960.56672,101731.08275999999,33703.56604799999
2024-08-23,492773.28588,97739.75829600001,181673.71956,205094.15675999998,201316.7034,239478.81983999998,62715.89084400001,101784.35483999999,66226.9014,97378.3242,271680.5178,138925.13796,110969.24832,54184.570596,154555.48656,167553.35244,205792.31412,86930.43768,125031.98015999999,172620.86039999998,282673.7838,130699.88388,315941.42772000004,185585.81004,280729.77948,58080.865536,150763.22424,127937.84651999999,207902.87063999998,213200.26308,236220.21143999998,232938.96408,305670.10608,197125.59492,230772.70656000002,573879.6583199999,94045.023,172964.86848,259491.5514,170998.957116,118192.35527999999,188765.23284,143356.90824000002,161910.76392,238501.95444,177395.62896,132866.03772,140208.74388,265269.95532,151008.54192,76391.79876,845789.3855999999,222231.79656,1483281.1152000001,120219.85440000001,0.0
2024-08-24,333747.56592,81385.65936,107289.47231999999,154323.87624,181154.96424,342042.71544,118825.78607999999,167164.87536,111978.87768,113002.32671999998,228148.35624,132307.19064,227408.30136,44870.717232,141737.84784,335607.25464,208820.86416,91715.82912,112682.7396,125437.06224000001,226645.72848,103771.4328,248652.37008,205666.80408,173366.70624,57865.275936,138887.19216,97670.21688,587502.3528,150691.74552,460432.188,239696.8308,206919.15048,276447.3516,139219.5492,295372.70568,71876.19563999999,129754.83743999999,219726.79488,467215.05024,107668.81367999999,185548.33728,124148.57472,148309.98696,174052.14336000002,158974.66296,126666.6552,140828.35824,250075.75824000002,144537.16895999998,102339.3204,729582.6816,220016.36664000002,746681.0428800001,117918.44352,42114.148128
2024-08-25,279890.52767999994,288274.5396,106698.19824000001,150529.06944,201276.79416000002,216732.70440000002,84338.01216000001,156077.28,166624.10424000002,269407.188,145037.46168,135065.41128,347236.74864,61482.05121599999,144020.71296,216978.78240000003,199616.95080000002,117702.34632000001,190675.06704,128630.44080000001,457626.78432,101478.44807999999,263252.14703999995,210943.63656,147373.13880000002,69992.128296,152059.734,119065.12056000001,300622.09103999997,262805.76144000003,432080.75159999996,227226.40776,169433.57952,206657.43624,121295.31839999999,274623.41088,77517.64173599999,101022.64704000001,219676.32864000002,290181.15864000004,122121.76032,171298.00296,395521.58520000003,158449.02912,313999.15248,217077.14016,215544.27456,143892.29448,288409.35816,169346.23344,152330.12063999998,570128.9241599999,246092.83056,796801.4064,132087.07799999998,54278.21663999999
2024-08-26,264886.38144,378499.014,84446.59104,335639.052,185245.85952,141337.23695999998,122037.33672,127120.77575999999,210504.83688,157864.36247999998,133466.51448,132651.14688000001,211711.34592,52978.699296,153227.08656,530239.43952,200567.98584,109246.72175999999,122551.92215999999,107961.30791999999,217076.97168000002,132265.75536,185526.89711999998,622391.72256,272998.9872,77929.035336,136492.79112,185525.55144,375612.50664,598523.01192,596020.4856,215292.29112,138689.36208,117501.30216,99015.049512,529156.0008,92928.492864,781306.50168,208705.52879999997,178693.9056,136907.93232000002,256863.73752000002,226001.39615999997,163747.31688,308258.73432,333772.92648,312219.00576000003,220493.44799999997,405558.81144,259048.87128000002,315069.08256,1952513.1648,283731.78096,977394.27168,132537.62592,44442.1296
2024-08-27,256525.25903999998,569559.1118399999,74011.886568,235953.17495999997,193936.11192,129003.59592,77420.54736,113091.7248,144701.2188,164450.66904,196008.15024,153599.28696,128799.27288,36461.176272,140331.5604,263754.63864,215104.69728,91330.34904,78090.35040000001,94045.33512,143275.16736,125009.17271999999,167027.18832000002,445707.04032000003,230687.59176,191185.50096,130159.78559999999,113108.09112,228305.8332,265299.91344,654792.0984,206002.60632000002,117630.27792000001,77956.90776,227609.34120000002,381242.69999999995,112217.23475999999,1988444.8728,206605.04975999997,190318.0752,144423.04320000001,203338.28736000002,131752.92816,146264.47344,246757.04783999998,183092.14512,259405.48080000002,506394.13464,228185.59032000002,180531.38736,146422.73015999998,2597695.8335999995,233154.06983999998,936104.3596800001,126138.07512,31393.066752000002
