date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-08-29,80768.8306872,101101.38951600001,77854.04991,79024.83007679999,79139.93441399999,88677.760716,79395.60610799999,82238.86297799999,140754.967164,79603.4680488,93446.966034,92505.9663,145752.43496400001,121609.27256399998,83257.824024,79830.953676,79858.805148,85244.9566752,100826.183268,156217.177152,114867.060876,93833.133264,81495.355824,86530.18978799999,99422.63887679999,81140.0318928,125659.284984,147733.540416,95359.48905599999,102916.7312328,83648.1706488,315941.17608,79898.7576312,82428.053004,79396.14858119999,103488.145452,152388.94068,82585.68138,82906.42204800001,93418.842132,89785.810692,181889.20396800002,76456.8939888,93757.729392,83797.88796,79114.37119199999,80315.36028719999,109128.76923600001,81498.872952,79775.9958564,90036.39758399999,560939.904,94678.703712,809055.040608,79289.33643,1577.6511264
2024-08-30,13526.417318400001,4929.2145216,6888.2041548,7735.836203999999,11461.6108728,16057.9226844,3409.65636408,8183.4814944,7730.4921264,9435.473082,196130.61511200003,7870.6927044,9553.301595,9946.92208644,9519.8643684,9093.4219404,6972.982146,5065.2435888,13638.3413688,4686.606108,65264.36565600001,9586.026788399999,10963.5242688,10354.340559600001,4921.4803608,9181.381438800001,10937.0066508,7288.755991200001,8669.3750928,5733.5783796,7127.881772400001,48270.04218,6136.7941008,3873.7730952,5334.7492728,5189.4988632,15891.9004296,11342.216754000001,10836.750013199999,11202.540310800001,5771.626704,45033.495857999995,10279.9619208,13811.3897256,3739.6868076,4192.3298628,4978.2629214,9898.1922348,9444.175398,10375.3824804,35917.6879044,619975.5120000001,12273.272139600002,122883.83216640001,4938.759972,519.4306656
2024-08-31,7591.4133876000005,4064.214582,5947.4290932,6937.536621600001,144813.92292359998,7129.2573684,6444.871925400001,10748.9102328,5961.0787488000005,4794.2944523999995,10176.0168132,6331.2587496,7289.617410000001,11086.64070804,13077.0107316,11943.9113436,9064.2259548,7220.8929492,151672.280976,3552.9320304000003,15578.116667999999,4861.0899684000005,10966.7078496,13231.5349176,4144.6423548,116994.47171399998,20493.222048000003,21197.0990232,25357.8847752,84728.7833976,13654.5193476,22460.0591016,13391.9202312,6505.217341199999,3265.3139579999997,22626.9954144,3621.3307956,9511.8834168,50794.535797200006,24604.6605912,10284.1656372,51747.226704,9724.652359200001,23404.272624,5477.1370668,6842.8483668,5525.3968236,132718.189608,9518.686930799999,9510.5830428,140100.607044,1047190.0319999999,16253.9091288,208422.1651392,5336.9170704,278.66875392
2024-09-01,17513.116865999997,17838.646847999997,3771.3648599999997,15396.076447200001,480233.21364,120418.62593759998,3829.7221416000007,13986.408175199998,27473.2672644,25544.2623624,31883.910346800003,8071.3715436,9095.831204400001,176428.97679600003,30467.004605999995,4977.5260968,5683.938955199999,4723.2390762,44275.9155588,7167.513063599999,60824.78802359999,10981.441036799999,183128.6177136,199169.14043159998,14007.066631200001,367935.233868,1190089.0162439998,52294.23750240001,324190.653804,184005.75286799998,6485.735026799999,44505.4239828,43369.1001468,7382.327417999999,9440.5820544,41506.6599648,5044.49505,17197.187749200002,188627.173848,206620.67066400003,52400.070244799994,8678.808072,76663.6859412,21924.774684000004,6887.305638,17744.2834788,6276.9209256,196835.716548,41017.9535604,8279.0252712,294351.32343600004,5060485.152000001,56575.945152,774375.6453120001,7060.7780136,674.189568
2024-09-02,45329.1438276,83397.79543679999,10547.7130584,143314.5096,482910.43492800003,313037.33342400007,3914.3885472,14432.598208799998,45142.625052,44328.033756000004,330137.10248400003,12342.45033,10484.567769599998,205291.45083599997,140169.602952,7032.1475052,4224.7809252,7352.3937708,331546.17729599995,21009.3667488,65580.1079328,39224.3948496,415295.3881440001,384821.47245600005,70708.64168159998,273370.141512,706272.42276,20388.590200799998,826540.2161999999,119771.542296,46404.74286,107376.07725,26683.4334888,3804.9736608,15620.069829600001,8133.9165035999995,9221.478868799999,10113.3420156,97145.287308,13273.324902,42754.8525228,3944.9585844000003,145562.4039096,15891.311538,15997.4700516,17351.639532,25143.186855599997,177069.093444,69575.01788880001,124283.233764,12155.023684799999,2223440.7552,135288.211932,967125.175488,9241.516011599999,726.531984
2024-09-03,57637.01886479999,628070.027328,135903.46776839998,86354.5636224,544796.409762,9642.1369896,225571.92354360002,4379.9193072,17962.5105684,15272.0352504,259998.19182,11671.9231392,245631.615372,101117.07014400001,90518.236506,8600.3126568,4381.6375763999995,296553.65787,407338.21080000006,51505.6056372,77080.1216724,8386.071425999999,55935.308268,131616.332676,139419.579834,189580.85337599998,175747.799628,6341.3377848,1425424.4560439999,58970.378786400004,102164.06923200001,19667.2691196,31091.046847200003,3630.0263400000003,9976.220917199998,5578.0769988,13072.4852076,8195.9224572,17125.7786568,7875.5020632,267293.1181104,6997.0981572,9134.9798112,5146.713043199999,15253.012648799999,31595.327618400002,51122.5715952,2555.0250551999998,11989.1143656,176270.291964,29770.340184,4553373.311999999,91477.820016,987751.0483200001,7058.8742544,837.2371679999999
2024-09-04,23605.517232,1404103.13784,93075.507864,8697.3050808,557642.99016,13235.869584,893862.635472,9413.0312544,12050.017596,4457.181686399999,37135.73628,387826.67030399997,351770.76144000003,10808.006385600002,9629.151912000001,5733.1177704,6738.260507999999,1174173.3721440001,227080.439928,146464.00387199997,11688.0905664,11672.368704,40089.66426,11027.604384,9816.451560000001,32638.200696,300218.47257600003,6873.5628,6639.294902400001,27206.718588,20376.326952,10387.605564000001,105486.24729600002,2814.6834072,8549.005464000002,5844.00204,16914.368376,9059.974632000001,124106.90832,15605.5133088,467877.95553599996,14559.741252,13697.4618648,8619.705007199998,4582.0925208,90590.304744,68213.298528,2919.0351888,22783.589366400003,3580.1534088000003,10171.9159128,3555517.2479999997,77170.002048,538204.862016,7469.0361792,757.6241471999999
2024-09-05,36158.417064,129857.45623200001,316014.2154,34239.450945599994,9725.052671999998,1836.8127972,186926.4432,8546.9392728,6328.713708000001,26858.381543999996,275709.45456,353032.063632,11107.8487944,87552.09604799999,5226.3915552,17084.279635199997,6388.584912,5739.5099664,259695.25452,70732.362672,387022.70772,132431.834088,110454.23131199999,48887.663616,75793.97512799999,59916.129991199996,13798.5304464,6077.1780144,3041.0508888,4852.0893888,120631.28536800001,89181.367416,36720.080568000005,707.1678539999999,9105.842772,9761.7294936,44318.53656,8722.963915200002,563577.41952,5635.5636168,163380.977208,20558.307340800002,14071.900780799999,67229.092368,9729.6253488,42709.095072,227092.13135999997,904.2349248,13691.96676,5937.349550399999,10171.932696,1163048.544,90758.301336,325872.450432,6877.066536,330.1918128
2024-09-06,151579.0152,108747.77817599999,3694.1146740000004,5836.0645152,245136.54996000003,3653.713224,1175816.0080799998,20953.1818224,5812.8609096,123662.72246399999,379307.58624,12830.7171744,5637.706574399999,7642.806850800001,4075.1969615999997,4558.04678736,7981.9355664,2757.4039116,4159.989036,2866.6533744,7378.222262400001,16700.930827199998,429720.985728,8967.9838824,5055.1934112,330784.554384,49209.683328,3284.3231352,3065.6479104,12865.429368000001,31734.106538399996,478436.432112,3477.9090527999997,2085.1591536,5028.0393816000005,16140.002824800002,6088.3059672,4580.2470384,34535.051351999995,10049.4178416,319155.85656,5455.905444,1977.7916448000003,4759112.76336,17962.670808,8747.641159199999,268792.81401599996,17094.4092792,14519.0108448,5451.100092,71611.76390399999,14023193.472,56385.812664,723590.5651199999,4252.146710399999,586.05712704
2024-09-07,271900.58076,25750.806508799997,13032.0195192,22962.786465600002,27142.926336000004,5757.5268288,47384.638718400005,13894.357355999999,108231.723936,74209.29587999999,168900.284376,23782.315176,7673.913151200001,14380.523827200002,7512.127315200001,20035.149336000002,7271.6635872,3332.09106,1670.3968175999998,3223.8910007999993,5923.409148000001,2394.9591516,2370.2591304,4936.321008000001,6123.348122400001,482714.73288,14643.869364,534.04632288,26089.943939999997,38618.7425136,29244.67632,86121.076392,2499.6947544000004,1087.542396,159306.67893599998,6553.172332800001,4121.662471199999,4884.3696816,113367.76156800002,9282.9213,133534.08403199998,5522.76846,6548.2787232,4509944.23752,5194.7829792,4217.5588032,222555.785112,38998.572444000005,12257.520134400002,16626.414348,92053.0799424,12781827.648,34337.601,542456.580096,4652.27172,387.8196624000001
2024-09-08,742041.36936,150912.410256,8423.073964800002,18500.1576264,5576.011401600001,3783.3907464000004,710091.48096,111121.12008,10350.120816,11189.715408,126280.00375200002,8693.3531664,2196.1151784,101118.08491199999,5279.1645888,976109.0384160001,8988.000084000001,3276.01554624,5854.4890344,2688.2784144,76254.95304,4656.9149856,2583.3137112,1634.8731119999998,8451.568944,762999.8256,7362.540727200001,4561.681103999999,296382.16656,651006.288,688403.3810400001,252519.51744000003,104163.460488,7776.9372024,777126.7828800001,6257.2503455999995,9898.7862456,3182.0806476,11068.8812496,12786.448600799999,4500.49608,3546.7951464,5990.298991199999,14505.446195999999,4077.8954064000004,3939.6131244000003,26726.975135999997,4100.593939200001,743645.4912,866932.69896,8916.830697599999,2580546.1248,122595.346368,657916.236864,4285.1886624,523.32638976
2024-09-09,569294.8120800001,9678.123432,221581.80979200001,204970.855428,66554.8062696,2865.233412,537650.37576,185282.90567999997,87620.00860799999,9073.1749536,1584.6882984,3043.1684232,3810.0724056,4965.2684424,5674.7530152,89284.5624744,7644.5332416,4015.9903896,109934.27784,7009.489634400001,40145.1410088,12607.9378632,1311.2711352,4365.7597728,9657.194976,79038.24631199999,8781.737256,7451.7457032,4084664.5763999997,277371.545184,226681.41816,469517.02488000004,1425763.1283840002,5291.5367664000005,1129862.27808,2838.8419704,24918.35724,5661.4745448,31683.556296000002,698465.3652,14813.600328,3648.8996423999997,1734.4249415999998,1073628.7052399998,4751.9268192,7621.987032000001,8140.497515999999,1158.2363664000002,1464561.95256,659322.130752,2528.1381744,7892757.8496,155575.812456,1091727.58176,4284.826344,522.8587583999999
2024-09-10,863841.996,1714.28815368,27942.727788,14607.8204544,466040.81592,1177.903944,9317.05362,51764.193287999995,10233.648302399999,11739.619439999999,4565.256552,5042.992068,1308.2317128,6015.3240816,26633.897280000005,459418.4406,8775.6314544,163325.806596,63057.278088,11560.693248,17117.568216,7963.288848,1254.6275976,5155.3940616,8208.0906336,79389.384552,6832.8699983999995,68569.862688,57780.944352000006,229197.10039200002,204932.78856000002,14476.266864,13933.472148,2280.9880368,1164569.0997600001,4721.5218384,1985.7501,3486.7746216,8300.993508000001,18010.649592,6044235.372719999,29184.84378,3136.5833795999997,652170.2009759999,2975.383584,6732.8878752,458935.84152,2484.67797,9049.5095832,77831.3657088,8612.9818128,13365819.936,37487.255112,895811.8147199999,4665.058164,621.4630176000001
