date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-09-24,381397.63896,380164.08348000003,379103.95008,380145.20291999995,379279.64664,379472.86512,383275.12716000003,378993.07404,379509.90372,381583.86552,382375.26252,381976.2306,383881.90356,379617.63588,379963.88388,381035.69531999994,379715.06052000006,378852.81228,379881.28547999996,379307.1186,378730.78956,379583.1288,381141.11304,379664.94312,381241.40508,379659.58308,379565.07012,379613.72736,380725.47936,379889.4276,378138.87828,380550.84012000007,379374.3216,378280.54512,380407.11804,379020.25548,380550.09168,380141.16156000004,383725.06272,380607.55524,386343.46764000005,379323.80352,378697.84416,380047.25232,379867.67964,382277.06675999996,379960.34148,381845.63052,384563.98511999997,377958.28608,380995.6284,406596.84479999996,382010.64048,3043454.54112,378545.65703999996,362400.67872
2024-09-25,354868.42284,370171.61136,391771.99691999995,380297.4408,361910.1006,389100.86208,370003.5774,372239.13096,421300.55232,349871.57604,336211.70364,490249.22112000006,336118.22208,348706.5876,341975.18736,336093.97176000004,343988.23824,384845.89644,335557.20636,369512.74548000004,402015.68352,464919.71220000007,388946.48904,370110.48876,383533.3368,371944.56852,351541.10376,377801.33292,341259.25104,351505.61819999997,408387.2094,341470.00872000004,380110.14072,389506.39019999997,324756.94392,370159.08660000004,303162.38172,333783.26532,372754.29096,507510.90972,455490.97524000006,362935.20311999996,404063.9154,357067.20564,465160.87296,401057.25264,369171.89963999996,331049.76048000006,370232.72748,424016.8938,378282.77963999996,597581.8588800001,390146.10984,3017804.06592,348628.69692,247196.93183999998
2024-09-26,304451.29476,351029.38032,441629.10828000004,415450.30248,407310.85656,521295.51131999993,367527.99168,464212.28411999997,473028.41592000006,263187.90648,254471.09040000002,712879.8012,295416.51264000003,323061.57071999996,324752.21244,362286.6966,348150.11004,408391.14168000006,430534.3698,395803.72548,463003.49627999996,571159.2636,619360.992,446688.42876000004,448230.77352000005,438243.55452,466081.76844,450094.43124000006,453042.77292,326217.70872,499524.50411999994,292975.49664,393392.98728,488801.11392000003,315460.18836000003,430628.57064000005,191047.76964,356538.0024,352181.28563999996,701000.14356,609664.03488,359448.91128,420879.30804000003,410940.19115999993,545050.67076,410195.64024,395046.15515999997,256802.43563999998,506091.12012,564424.27992,350464.45824,813550.2624000001,472832.3214,3356478.7775999997,347418.84312,173451.12768
2024-09-27,295938.67428,389937.18708,532274.5126799999,507665.28816,698839.21368,714759.04764,598421.81052,789533.9945999999,697387.6537200001,274303.1736,248512.52304,1208890.2996,347834.98764,347997.66047999996,463183.76664,578377.02132,491706.81828,438528.53735999996,757934.67312,732782.04336,610810.19892,659668.6656,821875.7880000001,670620.789,542330.24256,534966.83388,636308.49132,538432.27848,662033.74788,439400.23884,567450.1926000001,362110.74084000004,494012.71439999994,564295.50288,348109.95996,584896.5342,270978.67656000005,447730.22916,484424.33184,841540.5791999999,855301.8851999999,371881.15092,548169.71508,522943.24896,662985.43308,633038.28372,560052.02844,297035.01144000003,823974.8489999999,733906.42272,382726.14048,1480027.9392000001,673096.5918,4484520.78048,433432.02167999995,168280.73568
2024-09-28,311622.39431999996,435476.29967999994,716740.17912,584063.18028,910738.8684,803143.7604,924085.0980000001,838988.7552,916630.6248,355995.77544,360831.44088,2964334.698,494139.15864000004,411550.89768,591317.62128,824176.242,680457.96792,503315.71236,1123571.8764,1065810.42,822135.2309999999,660175.52472,927057.6791999999,842024.8188,671693.4871200001,642562.39332,767291.1246,572236.77204,735521.4450000001,548151.06132,760623.6506400001,440809.19496,641502.95976,604799.08632,472889.74176,696650.274,574961.598,524148.84864000004,676897.78464,974781.9720000001,1202455.8432,439172.12231999997,676403.973,644568.02676,630612.74844,853119.7776000001,759144.7872,438843.26447999995,1093629.06,945878.9580000001,534423.00528,3604451.616,851081.3748,5896808.64,539267.5386,280733.61023999995
2024-09-29,520580.8062,497655.90864000004,747229.698,500254.52040000004,685367.8293600001,684628.25292,778734.0594,702702.40716,1041777.828,365481.82152,310063.07196000003,2422285.5275999997,887492.0736,426698.48844000004,555781.2354,896775.6725999999,681975.96948,477275.463,1414720.1556,1208220.5376,682333.1460000001,615554.4347999999,895597.3872,633961.04004,646574.1710399999,640260.72756,808812.5129999999,519471.11916,735864.6474,596168.82792,838892.6892000001,580453.1722799999,615002.30208,629512.8678,440938.52928,696636.41004,722001.88296,591695.4506399999,701425.7931600001,1031038.6752000002,1266963.6384,561136.03092,595175.01732,639368.05788,614895.00624,677244.29616,588084.02676,465817.49136000004,927702.4122,948316.6529999999,521981.11152000003,2967268.8959999997,789906.492,5840718.63264,557450.43912,250456.26816
2024-09-30,602802.5486399999,588173.00688,748555.6248,422333.87472,478109.15712,646875.41328,723700.3968,1006613.7624000001,1365801.9336,411087.4632,222538.00680000003,1760644.3392,728058.85992,413723.51855999994,280120.06656,591719.66856,643024.67544,489229.94952,1036903.5611999999,1208328.732,602175.28032,623610.80712,860862.5999999999,599332.93848,658348.1798400001,530925.74496,815056.8192000001,494372.66328000004,817786.1303999999,778938.8328,984471.6887999999,627789.37032,465766.07904,638582.40432,425096.67888,700135.1143199999,938207.5020000001,607103.0287200001,595968.1812,958370.7672000001,1017116.3304,818448.5376,425472.76295999996,627378.81048,578673.57528,569065.95144,562332.54888,454177.24272,677632.7613599999,887904.7631999999,462784.04136,1926297.9359999998,796434.0767999999,2758606.43328,520292.65248000005,205532.82144000003
2024-10-01,570639.25872,431892.72359999997,693665.9423999998,388947.90384,372105.1332,598964.544,763510.6440000001,1093513.2624,1853148.8016,404728.22880000004,188809.61112000002,1240857.2843999998,695393.89056,378037.70496,223858.60704,1007575.0055999999,608605.73424,443352.21048,792021.36312,2170994.616,583087.67568,712445.5094399999,868688.7335999999,530722.2621599999,644868.9028800001,463988.8872,863542.1231999999,558241.42464,644069.14992,812293.2288,1815616.08,494042.2848,444235.19039999996,601232.0364,474802.21439999994,614525.64408,1905209.7911999999,803690.4887999999,501852.14496,894486.5964,1158857.8632,1233343.8864,322404.02999999997,534708.1836,571613.52024,690448.18824,604448.9330399999,604889.6810399999,543567.00672,848310.0192,406990.95192,2372530.6944,843383.3184,2954654.6256,489476.68415999995,182230.3872
2024-10-02,419634.07343999995,291323.45952,596477.10096,360773.85959999997,344846.60712,637223.07744,1366113.384,1012974.0228,1202483.9448,297782.91576,190871.52768,979545.852,771396.048,351327.05424,257409.71639999998,887112.4752,527512.43088,393488.36856,497406.23424,1911022.4375999998,552413.6215199999,686199.32136,794452.8384,489231.82655999996,591506.9150400001,568869.8364,764815.5,665648.36856,473586.29208000004,594553.00968,1896308.3016,379044.792,445779.66816,567249.8320800001,398551.46040000004,520479.40608000004,1600123.3992,669524.1947999999,375346.15704,855510.2604,1015861.2624000001,893928.7547999999,284984.1576,498492.80928,584628.36912,657242.51904,544730.02848,510859.98432,488901.34656,780839.7948,336133.00944,2227909.968,778639.5,2649609.41184,406405.16208,174402.83232
2024-10-03,322791.44544000004,311903.69328,513040.73112,375449.48712,317283.94872,637540.44408,1867330.7568,1223900.172,760173.8652000001,230790.7512,537016.56048,1346874.7392,926664.9048,348806.99088,216707.75208,653687.88048,609714.87264,439742.99519999995,374847.75648,1070891.064,554008.34952,674240.04288,729690.7248,475419.90528,564685.89912,594481.5828,640389.69792,603552.6907200001,456178.84343999997,501769.81440000003,1192072.7232000001,637455.63816,583155.67032,563264.8632,437705.71992,487971.39959999995,1003262.4144000001,421918.53912,303328.83888,800772.9336,867546.6984,537885.68832,289978.51608000003,578460.8952,534459.7857600001,510203.54088,430118.05464,572142.71592,457591.34088000003,703465.03296,295793.14536,2046836.304,685659.1248,2438284.91328,432557.6472,189073.99296
