date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-09-07,19236.086668800002,28386.686736000003,8171.855850600001,20529.808829999998,11553.304536,13354.682338800001,22848.72084,15803.870687999999,7872.6023226,12663.098928000001,25841.149092,21283.132968,11752.0354656,14470.450848,6768.032657399999,17894.701062,9594.790308,48362.79571200001,14369.1535224,10711.5225984,11162.7621936,8228.954343599999,21085.208150399998,23501.4406668,23176.6974,7171.9964838,17980.716992399997,13908.017887200001,10784.335248,16672.117464,13386.2698656,29845.108692,23437.9740564,18489.396798,20245.982022,12710.0682792,26546.146199999996,12124.6021476,8848.0495368,9659.469132,10537.624227600001,27921.626748,6651.919287000001,7462.1168946,9240.4386684,8839.4450796,14818.722768,12465.523987199998,15162.916014,22421.830428,12600.0537984,130114.13184,19419.374484,128400.94339200002,10016.169739199999,399.9994272
2025-09-08,32032.953424799998,35918.414064,14343.516936,15505.7478444,10654.7168016,14372.0851716,14048.427348000001,22524.28074,12048.412575600001,22531.007692799998,11378.89998,11970.779950799999,14087.212448400001,7578.862448399999,10684.604408399999,9186.3109044,10790.224369200001,51354.294947999995,20436.6724164,9414.1821024,12781.9594728,11623.6475604,12170.098756800002,122602.53118680001,18272.477664000002,20977.301106,18058.7316132,12142.5783048,11419.0246152,10729.0372608,7010.109295200001,63763.0900128,19495.4301576,7830.666997199999,29807.074871999997,14889.2445648,52049.908692,13118.358013199999,3891.8824056000003,10867.88544768,11037.189135599998,11424.911112,7822.9344564,12591.8944956,12065.495562,8205.3224856,8917.725477599999,7939.2984624,15514.802855999998,34695.064368,15166.832439599999,408562.7904,18473.955768,152116.71263999998,8627.821455599998,646.53626304
2025-09-09,18310.7533392,50281.43958,22713.60933,24470.681687999997,16657.4966508,28655.7461964,14567.826844799998,16215.730210799999,15875.796938399999,30723.972343200003,7515.3159504,22484.044692000003,30350.4662664,14277.2157792,22894.446636,7221.4195356,20740.4538768,67013.049006,67304.20133519999,15497.3065104,10636.480256399998,28159.936092,28172.816733600004,142277.034762,90458.201628,13296.900232799999,22944.9714984,14723.184618,8425.5881292,39923.886474,4576.78045872,41909.633226000005,18097.0216956,6623.554312800001,34671.853872,11047.487832,38866.824486,9211.434490799998,6106.615758,33969.80322,17160.243498,8919.4591692,13527.114847199999,22069.1508876,11745.023111999999,11810.5122816,11439.1351872,9808.9836732,21202.0469028,13533.243534000001,13501.16046,521804.70431999996,30866.496120000003,199621.48463999998,9833.9291676,147.26670048
2025-09-10,11630.4536988,17001.8585604,37769.191164,28013.3309304,8865.690991200001,6808.006422,6417.6559848,8089.881361199999,12813.345828000001,8160.6010464,15656.4327708,19141.3622664,15629.103468000001,22836.1302864,8270.9750592,14816.0484396,18041.898744000002,77973.268464,22013.892115199997,6187.7676762,9937.7286804,8153.5941468,15558.677910000002,16966.0519488,195358.236804,9387.5044824,15199.1752644,8559.461689200001,17034.277860000002,11094.7109508,21100.17144564,15927.168250800001,7074.7892532000005,20554.4560284,28053.54378,20205.340056,19027.619712,17987.339844,14971.1486868,7097.754563279999,27610.8305688,19672.6609656,17656.16562,18511.521786,9855.37989,44006.146128,12127.9336668,13163.450832,18386.970084,16202.066904000001,12728.1146796,798281.6544,20690.67861,165538.3509504,8280.9312876,374.5256832
2025-09-11,20894.552683200003,18178.887294,36549.818546400005,11157.0084828,17092.116396,11817.898595999999,15875.4309264,37804.137533999994,15610.5242712,8370.8474652,10727.203788,16347.721104,12531.445016399999,11576.7232992,8953.732202399999,18752.4814284,13020.2519904,21356.7316416,12685.9356468,5056.020788399999,22877.758368,5413.560561,23548.986727199997,25961.850496799998,18296.814816,25237.829188800002,12489.665531759998,9495.0363456,8646.2496144,36134.215776,34330.9663656,28420.479882,15893.664382800001,15673.779644400001,28952.812368,11119.550529600001,25590.403440000002,9439.307082,4897.0810872,8567.25602004,17263.174388400002,10877.889826800001,16553.048543999997,30286.606806,34004.217527999994,42343.1712216,9907.022844,9736.0403868,41726.1447684,37732.0412592,16219.982710799999,200127.24,23386.534218,150901.35192000002,9083.90457,265.15176768000003
2025-09-12,23195.256768,30559.90302,14220.996994800002,10539.11466,11191.4306316,14863.622526000001,15653.932808399999,15936.045651,19580.9061852,3344.8981671,9075.167272800001,14441.945112,4259.8239012,6761.580807599999,8860.730745600002,7241.3998163999995,5604.929676,6766.7777244,11384.8755012,7170.9241896,14140.5630876,3539.0811384,48977.365608,6747.7797900000005,35693.303616000005,12423.71196,6682.6148256,11813.3419464,6679.995577200001,26194.314168000004,11035.3104864,20383.5031632,7136.0806572,21687.389571599997,6494.457128399999,11773.2243096,16512.1007004,20844.868752000002,3180.44337192,26901.168662160002,35026.283952,28671.1465104,2857.8200837760005,12304.049904,24092.4710988,42779.880648,13028.695279200001,12330.50486904,56751.6164076,9481.7793132,3682.81483056,235116.29376,18920.17035,125568.92738879999,5846.4237023999995,20.982742848
2025-09-13,19277.33148,10968.645672000002,9724.637304,19411.8084576,20017.7169696,2716.8966,17684.1469512,13183.902079200001,6904.576144799999,5111.261568,44107.33176,8028.4521168,9170.3018376,2539.20875544,5154.480036,12044.104920000002,4716.828259919999,11184.40223136,37977.82092,11008.656864,7506.032421600001,4355.33045904,84797.534664,12567.0172896,68625.656244,15067.3216824,4136.876064,7849.469937600001,3911.3938584,31112.193744,170.889975936,62353.450727999996,5425.7248656,14973.2181504,5454.3530088,5750.8716096,12048.0698592,20517.205176,923.0233046400001,9472.635504,372925.50119999994,27854.230967999996,422.77557744,10319.8872312,7337.7696096,3315.188196,25281.072453600005,7324.491830399999,2465.534052,6007.4351352,11301.021504,860414.1407999999,17377.493004,88039.654272,4582.5615,3.9176455679999993
2025-09-14,7116.9843456,5742.855288,1738.33750836,23468.0960232,4206.002652,2726.3202264,3905.8555536,813.4819502400001,6142.6703808,5931.1129176,4551.4259424,5910.6805488,3122.7095678399996,3168.5636808,2353.8317903999996,4066.6408991999997,2263.27203,4335.5589552,13320.088199999998,7201.9601712,3080.061234,2823.3299282400003,3302.3348784,8499.9217536,5494.2532588799995,3047.5548583199998,5482.2520872000005,898.663464,2662.607916,10783.8184896,0.1712630435112,44590.538232,3842.0898696,4538.6140319999995,3457.0508832000005,1883.0998799999998,12058.1078976,6383.253492000001,1382.2876346399999,1489.20931296,4308.2851536,31851.676656,2533.0908824639996,3736.1037239999996,5106.2348592,4343.488855199999,3682.5380568,3532.4248176,4054.1785416000002,7196.655254400001,3214.78956,85923.155808,6441.672312,24419.2256064,2342.5487496,0.0019492329888000002
2025-09-15,7998.490562399999,4941.152042399999,4051.0751572800004,18704.853071999998,5940.0441936,5198.64987816,1128.62249856,3596.954688,3493.4257908,2824.8497496,5204.004084,7259.810479200001,1793.0574035280001,1321.2638395200001,3106.6077960000002,44608.323024,3280.4466047999995,2144.5842096,22195.384668,2844.0856512,3413.4196824,1811.3496695999997,3394.2973536,7153.9773264,4043.0332008,797.21321904,2728.58272704,3096.1555775999996,2729.54225736,6268.568076,8.56888345152e-05,27308.506752,3278.72941776,6012.057837599999,2841.2557272,3282.7488624,7191.456760800001,15689.676671999998,1267.97849496,24.475039196400004,3103.1354988,6430.557902399999,2516.0707642896004,934.5122539200001,9027.517068000001,1747.3826304,3559.32616392,3605.2706340000004,3286.5658200000003,8688.800253599999,2620.1885659199997,85859.0712,6837.268211999999,23489.2586016,1148.5829808,9.765715968e-07
2025-09-16,10342.340712,28172.751911999996,3093.7432464,69379.489872,6834.271535999999,4547.775996,3058.6016448,2515.3653492000003,24688.839743999997,3172.1384375999996,9444.237984,5943.2213592,5090.26838328,2771.838103824,4127.4115704,19234.343808,166.0357633104,3711.2072399999997,7878.1594248,6236.0277408,16283.088071999999,2056.89038472,8044.219296000001,6290.796113280001,4034.496924,135.85192128,3551.8490452799997,3004.5688182,3865.1256432,5536.936008,4.29309426456e-08,6478.707023999999,3546.3005712,5950.3047983999995,3915.02343168,1174.639300992,6281.3556432000005,8816.5878192,2321.70625728,1044.4849983801935,4521.42949536,9939.242678399998,783.98320392,4222.7830656,7020.853178400001,1052.637418139184,3351.796371504,3475.7056151999996,3632.4658332000004,6163.494660000001,3231.5672736000006,111167.00928,7546.0851504,28246.036175999998,1487.2743504,4.892734368e-10
