date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-11-09,1053222.804,1054471.4514,1050575.3406,1053862.3422,1053500.3964,1052631.3312,1054168.4196000001,1052510.3172,1052971.3422,1052240.2956,1052105.922,1052657.0028,1054768.4838,1053157.6692,1052766.8172,1051450.7238,1047272.2631999999,1051930.8864,1053341.6904,1050849.9575999998,1053401.7492,1051800.5412,1055572.3656,1055558.0502,1053719.118,1052913.5892,1052176.2624000001,1051250.8103999998,1053593.514,1053203.0184,1053389.5236,1053846.8982000002,1052167.9572,1052187.8399999999,1049262.0606,1051301.8566,1052039.6586,1053521.4132,1054028.2140000002,1054463.3676,1052711.4186,1051646.9759999998,1054248.3936,1051612.1244,1052471.8476,1052933.4827999999,1052665.5564000001,1055032.56,1055383.7436000002,1052876.2536,1051937.982,1072782.3168,1053915.1704000002,8422489.9872,1051920.8424,1007084.1024
2024-11-10,1036941.3612,1019133.9918,999437.184,987178.2444000001,1008339.2028000001,1044977.8302,1032200.9171999999,1023619.6962000001,1038144.8592,1000335.582,1014581.7216,1054315.6776,1001307.1931999999,988629.9156,996701.1444000001,961113.5567999999,980253.6300000001,1034687.4876000001,1009145.2392,1006773.9426000001,1032508.7064,1058674.2768,1031158.5066,1020758.2847999999,999632.0052,1009545.8976,1018083.3515999999,1003204.8288,1026418.8672,986573.7629999999,1054208.7792,965923.7202,1017740.4192,1018629.5076,909954.7667999999,1012547.8547999999,918863.6814000001,997107.9372,1010080.3356000001,1059047.19,998090.7804,998263.2239999999,1016862.3306,997295.4360000001,1040547.033,1053130.4964,1003465.7999999999,977863.4765999999,977900.6880000001,1001875.23,1036982.4066000001,1102806.3168000001,1030129.5312000001,8076982.0896000005,996536.8872,828044.3808000002
2024-11-11,1042461.8676,1053890.5895999998,999261.9108,913821.5448,962308.8792000001,1156275.5832000002,949648.6440000001,1078693.2216,1047223.0205999999,993106.4615999999,968522.0976,1189826.1557999998,949162.0715999999,963206.5104,855931.0499999999,878128.9056,990513.7812000001,1067223.1896,1026522.1799999999,1017847.3176000001,1086995.1924,1167648.102,1044546.1272000001,967591.8612,1024026.5105999999,1031985.7164,1049178.6683999998,1005797.9412,1055782.6038000002,959897.9735999999,1126362.5802,905427.558,982576.6451999999,1054446.8706,756965.5956,1069637.0868,706776.97068,1000403.8326000001,920136.3263999999,1127123.0784,965606.8752,1045394.5374,917895.6072,997383.4505999999,1021000.7339999999,1046039.0867999999,972684.2555999999,826952.3711999999,829926.8586000002,984149.8164,2527299.9647999997,4524027.551999999,1055469.1554,8200975.161600001,956625.9299999999,632640.99168
2024-11-12,1047375.1332,1065469.0482,1008639.3348000001,892729.7064,935145.1188,1255566.8303999999,863672.6898,1158499.3895999999,1036627.8263999999,995885.0207999999,910126.5623999999,1303083.6714,946616.3604,956732.2398000001,718469.1252,846443.79,999795.1176,1074555.531,1046277.4698,1028131.8119999999,1163778.9858,1228367.3868,1073863.1321999999,905679.2466,1050099.4116,1064766.3678000001,1080271.2744,1060773.3756,1079190.0864,984182.0598,1226831.1300000001,862002.0108,968169.6396,1086963.0948,691384.60332,1118398.0284,575457.0048,1062213.9174,850900.3452,1138416.1091999998,959322.9276,1124001.8676,809932.5756000001,1042560.4122,954324.3852000001,1001729.5002,956537.1647999999,717590.2535999999,716196.83328,992810.4552,2756388.6684,3789613.7279999997,1079134.0344,8218500.451200001,922635.8352000001,544548.7008
2024-11-13,1030138.3872,1047094.398,987036.5160000001,876654.5166,913705.11,1257752.07,807326.4978,1167310.17,1019407.7555999999,973876.3433999999,874314.2916000001,1315425.4308,943678.5767999999,952853.3711999999,659645.99316,833306.1732000001,989690.94,1053936.1008000001,1033687.1159999999,1019210.5368,1205041.6872,1229231.322,1078923.4938,881681.733,1034833.4496,1065327.1956,1075638.0150000001,1040955.6455999999,1064055.7116,971725.8744,1468999.0332,836793.5634000001,945063.7956000001,1089334.0188,660228.97608,1126969.5996,518628.05172000005,1077315.1091999998,819509.5512,1123130.6964,944897.9724000001,1089559.5984,763512.4692,1035411.8004,910970.361,975564.9450000001,937998.0090000001,659722.2228,663921.1224,982213.0092000001,1560834.9972,1837356.5664,1074210.0984,7936320.0384,895558.9500000001,502586.7696
2024-11-14,1016878.158,1011050.802,959774.967,855111.4812,892652.3730000001,1240035.4368,778535.2044,1115601.4764,1002281.5692,959023.7892,847515.3174,1289072.1672,916667.1288000001,934428.771,656889.17976,819320.6159999999,976315.7178,1021391.8776,1010937.456,1013395.7196,1149795.2645999999,1208520.243,1051970.2308,861297.7428,1015344.8711999999,1043666.3807999999,1060307.3016,1006746.5700000001,1039518.9972000001,952143.2333999999,1563407.298,821934.3888,919537.1639999999,1074597.5052,653747.00076,1114226.496,499199.78592,1036227.8592,779384.0519999999,1119319.4142,910919.358,1051648.596,743460.6708,1015837.092,889153.9992,949861.0098000001,917963.28,643616.80272,642639.59604,946528.4808,1183993.9128,1583307.1295999999,1047227.5619999999,7715042.208000001,875158.0253999999,492955.632
2024-11-15,997619.8464,993874.1256,942841.5767999999,835482.816,873765.522,1210857.1848,774694.3032,1098390.0456,984290.5944,948873.7872,839477.3256000001,1266261.6168,902336.1444000001,914326.6392,646602.20352,793237.9680000001,957079.4543999999,1010198.0988,990442.5552000001,986547.654,1118377.6812,1196234.6328,1030433.5728,835752.4488,999590.9328,1036034.5607999999,1050315.4764,1130944.4424,1019654.1791999999,944935.9776,1402400.304,815229.6407999999,895768.74,1043220.5999999999,641042.8322399999,1101070.9296,486377.68896,1008378.5471999999,763840.5408000001,1096098.2208,871804.242,1020854.3184000001,734558.3388,972545.022,871832.1815999999,928378.7568,902018.2896,632007.61272,635484.23208,927555.8399999999,1049485.2048,1481151.9168,1030490.4672000001,3774857.0400000005,854521.1639999999,479041.34400000004
2024-11-16,974209.9608,981898.5564000001,933484.9319999999,820843.4808,853749.1044000001,1182036.7476000001,759524.6016,1087316.4168,962101.4543999999,925844.8824,819761.2235999999,1228887.9360000002,881624.6603999999,893726.8596,614238.08544,777503.9664,923441.6124000001,992158.0704000001,969024.6216,958730.2559999999,1083999.9744,1168968.5856,1015222.5935999999,825507.9251999999,982362.7728,1015473.7584,1032604.3295999999,1273249.4976000001,1010415.1464,931422.078,1199126.6244,800214.0120000001,876900.2111999999,1029365.7767999999,629597.3551200001,1073109.924,471092.11632,974069.2152000001,749581.3656,1067104.5624,840258.2520000001,997599.8232,708346.5120000001,941080.7232000001,855709.9416,929666.4839999999,881675.9928,624940.3044,621849.3379200001,911557.0008,984979.5156,1289036.7648,1012122.0756000001,3689973.4031999996,832883.1264000001,469634.0256
2024-11-17,951314.2091999999,952267.2119999999,910741.0824000001,806473.0008,835451.658,1150584.048,742873.4856,1071364.6656,936248.4792000001,889787.3328,801893.6928000001,1209171.0240000002,863630.4672000001,884008.2312000002,591241.6799999999,768401.6832,916614.9648000001,967418.1432,960378.4979999999,939742.5275999999,1060086.4632,1140110.6831999999,994680.8208000001,811705.3415999999,966978.5400000002,990095.0976,999779.3928,1158377.3496,989767.4904,925771.3128,1087227.9216,789495.5736,861793.9272,1003019.652,617003.784,1041582.3695999999,462989.47896,952750.08,736121.7144,1049058.3564,820388.8655999999,974700.54,685911.97224,920957.7960000001,832329.648,927532.8791999999,859133.4336,608930.9244,612392.44104,892957.3703999999,964490.0471999999,1233187.4592,989844.7968000001,3599037.4464000002,816047.0928,460032.048
2024-11-18,935279.0928,942826.2623999999,889329.3048,792206.9243999999,820325.6424000001,1128794.4648000002,737149.8096,1038241.7999999999,917590.3992000001,870240.5316000001,794669.94,1185582.3443999998,857565.6408,873112.7808000001,573223.30128,756792.8711999999,901536.8255999999,947080.08,952068.06,904359.1464,1034569.53,1114966.9871999999,972521.8128,801983.9591999999,944545.0392000001,970919.9784,982955.6928000001,1005884.4924,996277.1472,904580.9135999999,1042733.1312,772136.1935999999,840943.404,980301.1392,609587.9964000001,1023198.5664,467512.3979999999,936983.592,720859.3056000001,1042768.0044,799776.6552,961215.5088000001,678611.38176,906292.0980000001,815963.6088,889103.1096,844204.2156,604499.6174400001,599872.4114399999,882971.4095999999,939403.548,1194815.1456000002,970004.2464000001,3522048.5664000004,800887.0248,465394.49856
