Unnamed: 0,date,S308.DS_FLOW_cmd
0,1990-01-02,0.0
1,1990-01-03,0.0
2,1990-01-04,0.0
3,1990-01-05,296035.64109504
4,1990-01-06,114989.05067328
5,1990-01-07,0.0
6,1990-01-08,0.0
7,1990-01-09,0.0
8,1990-01-10,0.0
9,1990-01-11,0.0
10,1990-01-12,0.0
11,1990-01-13,0.0
12,1990-01-14,0.0
13,1990-01-15,0.0
14,1990-01-16,0.0
15,1990-01-17,0.0
16,1990-01-18,0.0
17,1990-01-19,0.0
18,1990-01-20,0.0
19,1990-01-21,0.0
20,1990-01-22,0.0
21,1990-01-23,0.0
22,1990-01-24,430597.29613824
23,1990-01-25,479528.80706304
24,1990-01-26,0.0
25,1990-01-27,0.0
26,1990-01-28,0.0
27,1990-01-29,0.0
28,1990-01-30,0.0
29,1990-01-31,0.0
30,1990-02-01,141901.38168192
31,1990-02-02,0.0
32,1990-02-03,310715.09437248
33,1990-02-04,127221.92840448
34,1990-02-05,254443.85680896
35,1990-02-06,831835.6857216
36,1990-02-07,582284.98000512
37,1990-02-08,269123.3100864
38,1990-02-09,229978.10134656
39,1990-02-10,222638.37470784
40,1990-02-11,163920.56159808
41,1990-02-12,-29358.90655488
42,1990-02-13,-56271.23756352
43,1990-02-14,4159.178428608
44,1990-02-15,137008.23058944
45,1990-02-16,183493.165968
46,1990-02-17,83183.56857216
47,1990-02-18,-58717.81310976
48,1990-02-19,149241.10832064
49,1990-02-20,322947.97210368
50,1990-02-21,-844068.5634528
51,1990-02-22,-1076493.2403456
52,1990-02-23,-697274.0306784
53,1990-02-24,-822049.38353664
54,1990-02-25,-802476.77916672
55,1990-02-26,-489315.109248
56,1990-02-27,-112542.47512704
57,1990-02-28,51378.08647104
58,1990-03-01,0.0
59,1990-03-02,0.0
60,1990-03-03,0.0
61,1990-03-04,0.0
62,1990-03-05,332734.27428864
63,1990-03-06,751098.69269568
64,1990-03-07,100309.59739584
65,1990-03-08,0.0
66,1990-03-09,0.0
67,1990-03-10,0.0
68,1990-03-11,0.0
69,1990-03-12,0.0
70,1990-03-13,0.0
71,1990-03-14,247104.13017024
72,1990-03-15,398791.81403712
73,1990-03-16,391452.0873984
74,1990-03-17,371879.48302848
75,1990-03-18,137008.23058944
76,1990-03-19,0.0
77,1990-03-20,0.0
78,1990-03-21,0.0
79,1990-03-22,0.0
80,1990-03-23,0.0
81,1990-03-24,0.0
82,1990-03-25,0.0
83,1990-03-26,0.0
84,1990-03-27,0.0
85,1990-03-28,0.0
86,1990-03-29,298482.21664128
87,1990-03-30,354753.4542048
88,1990-03-31,337627.42538112
89,1990-04-01,154134.25941312
90,1990-04-02,0.0
91,1990-04-03,0.0
92,1990-04-04,195726.0436992
93,1990-04-05,359646.60529728
94,1990-04-06,222638.37470784
95,1990-04-07,166367.13714432
96,1990-04-08,78290.41747968
97,1990-04-09,24465.7554624
98,1990-04-10,0.0
99,1990-04-11,0.0
100,1990-04-12,0.0
101,1990-04-13,0.0
102,1990-04-14,300928.79218752
103,1990-04-15,222638.37470784
104,1990-04-16,31805.48210112
105,1990-04-17,0.0
106,1990-04-18,90523.29521088
107,1990-04-19,244657.554624
108,1990-04-20,296035.64109504
109,1990-04-21,374326.05857472
110,1990-04-22,220191.7991616
111,1990-04-23,149241.10832064
112,1990-04-24,166367.13714432
113,1990-04-25,379219.2096672
114,1990-04-26,1127871.32681664
115,1990-04-27,1196375.44211136
116,1990-04-28,689934.30403968
117,1990-04-29,247104.13017024
118,1990-04-30,447723.32496192
119,1990-05-01,755991.84378816
120,1990-05-02,719293.21059456
121,1990-05-03,528460.31798784
122,1990-05-04,406131.54067584
123,1990-05-05,325394.54764992
124,1990-05-06,234871.25243904
125,1990-05-07,124775.35285824
126,1990-05-08,274016.46117888
127,1990-05-09,496654.83588672
128,1990-05-10,557819.22454272
129,1990-05-11,144347.95722816
130,1990-05-12,-48931.5109248
131,1990-05-13,-83183.56857216
132,1990-05-14,-24465.7554624
133,1990-05-15,0.0
134,1990-05-16,0.0
135,1990-05-17,83183.56857216
136,1990-05-18,663021.97303104
137,1990-05-19,548032.92235776
138,1990-05-20,459956.20269312
139,1990-05-21,413471.26731456
140,1990-05-22,623876.7642912
141,1990-05-23,643449.36866112
142,1990-05-24,741312.39051072
143,1990-05-25,477082.2315168
144,1990-05-26,0.0
145,1990-05-27,0.0
146,1990-05-28,0.0
147,1990-05-29,0.0
148,1990-05-30,0.0
149,1990-05-31,0.0
150,1990-06-01,0.0
151,1990-06-02,0.0
152,1990-06-03,0.0
153,1990-06-04,0.0
154,1990-06-05,0.0
155,1990-06-06,0.0
156,1990-06-07,0.0
157,1990-06-08,0.0
158,1990-06-09,0.0
159,1990-06-10,0.0
160,1990-06-11,0.0
161,1990-06-12,0.0
162,1990-06-13,0.0
163,1990-06-14,0.0
164,1990-06-15,0.0
165,1990-06-16,0.0
166,1990-06-17,0.0
167,1990-06-18,0.0
168,1990-06-19,0.0
169,1990-06-20,0.0
170,1990-06-21,0.0
171,1990-06-22,0.0
172,1990-06-23,0.0
173,1990-06-24,0.0
174,1990-06-25,0.0
175,1990-06-26,0.0
176,1990-06-27,0.0
177,1990-06-28,0.0
178,1990-06-29,0.0
179,1990-06-30,0.0
180,1990-07-01,0.0
