Unnamed: 0,date,S65E_S_FLOW_cmd
0,1990-01-02,
1,1990-01-03,
2,1990-01-04,
3,1990-01-05,
4,1990-01-06,
5,1990-01-07,
6,1990-01-08,
7,1990-01-09,
8,1990-01-10,
9,1990-01-11,
10,1990-01-12,
11,1990-01-13,
12,1990-01-14,
13,1990-01-15,
14,1990-01-16,
15,1990-01-17,4383260.28288812
16,1990-01-18,4677950.30743273
17,1990-01-19,4867902.4328428
18,1990-01-20,5259623.64355129
19,1990-01-21,5441257.41210415
20,1990-01-22,5517150.18554851
21,1990-01-23,5586437.20501803
22,1990-01-24,5081586.34105141
23,1990-01-25,5715469.59932673
24,1990-01-26,5474677.63406579
25,1990-01-27,4787923.87823622
26,1990-01-28,5221261.33898625
27,1990-01-29,5213212.10543912
28,1990-01-30,5371603.4063027
29,1990-01-31,5289789.92003643
30,1990-02-01,5417207.57448461
31,1990-02-02,5467607.03073715
32,1990-02-03,6079055.19125345
33,1990-02-04,6702026.72259254
34,1990-02-05,6444475.71483986
35,1990-02-06,5937643.12468078
36,1990-02-07,6317840.96456648
37,1990-02-08,6602744.68692613
38,1990-02-09,6370613.59909887
39,1990-02-10,6194827.14610153
40,1990-02-11,6732804.64296424
41,1990-02-12,6775668.64653437
42,1990-02-13,6558339.34076187
43,1990-02-14,4883487.11907235
44,1990-02-15,1270090.76331957
45,1990-02-16,329700.520611302
46,1990-02-17,57421.1280702528
47,1990-02-18,119613.078455674
48,1990-02-19,125974.174875898
49,1990-02-20,42227.8939281024
50,1990-02-21,891360.868761619
51,1990-02-22,3178248.42909853
52,1990-02-23,4452033.52149293
53,1990-02-24,6828147.69200122
54,1990-02-25,8565656.71342994
55,1990-02-26,10153704.4347389
56,1990-02-27,9310908.09057011
57,1990-02-28,9382494.89105309
58,1990-03-01,9233302.71424337
59,1990-03-02,8752208.09883074
60,1990-03-03,8256360.63287428
61,1990-03-04,7377330.50486571
62,1990-03-05,6837346.81605508
63,1990-03-06,5652494.74476651
64,1990-03-07,3637005.809774
65,1990-03-08,2391307.40465044
66,1990-03-09,339951.672150048
67,1990-03-10,0.0
68,1990-03-11,111098.995554758
69,1990-03-12,153375.820993786
70,1990-03-13,106107.981440429
71,1990-03-14,39218.6060062272
72,1990-03-15,44894.661273504
73,1990-03-16,345750.056194637
